Inventory ID (OPTIONAL),Artist Name ,Title ,Year ,Price ,Medium ,Materials ,Height ,Width ,Depth,Certificate of Authenticity ,Signature ,Classification 
KG-1017,Unknown Artist,Figure of a Standing Attendant,101,,Green Schist,Green Schist,19.75,,,,,Sculpture
KG-1021,Unknown Artist,Bhim Singh with Attendants,1801,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,6.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1022,Unknown Artist,Krishna Playing the Flute with Gopis,1701,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1023,Unknown Artist,Kakubha Ragini: Folio from a Ragamala Series,1780,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,7.0,4.0,,,,"Drawing, Collage or other Work on Paper"
KG-1024,Unknown Artist,Bon Thangka of Satrig Ersang,1801,,Gouache on cotton,Gouache on cotton,32.9,25.4,,,,Painting
KG-1025,Unknown Artist,Maharana Sarup Singh of Udaipur,1860,35000.0,Gouache heightened with gold on paper,Gouache heightened with gold on paper,16.0,12.0,,,,"Drawing, Collage or other Work on Paper"
KG-1026,Unknown Artist,Maharana Ari Singh Riding in a Procession to Jagan Nath,1822,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,10.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1027,Unknown Artist,Portrait of a Maratha Nobleman,1701,35000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,13.0,9.0,,,,"Drawing, Collage or other Work on Paper"
KG-1028,Unknown Artist,Maharaja Umed Singh on a Palanquin,1720,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,9.0,13.0,,,,"Drawing, Collage or other Work on Paper"
KG-1029,Unknown Artist,Indian Noblemen Receiving British Royalty,1930,,drawing on paper,drawing on paper,17.0,12.0,,,,"Drawing, Collage or other Work on Paper"
KG-1030,Unknown Artist,Hunters Shooting Boar (Maharao Ram Singh II of Kotah & Maharao Ram Singh of Bundi),,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1031,Unknown Artist,Painted Saddle,1401,28000.0,"Gilt and varnished wood and leather, with gilt-iron frames","Gilt and varnished wood and leather, with gilt-iron frames",,,,,,Design/Decorative Art
KG-1032,Unknown Artist,Panchamukhalinga,1301,,Red Sandstone,Red Sandstone,,,,,,Sculpture
KG-1033,Unknown Artist,Vajradhara (Large),1401,175000.0,Gilt-bronze,Gilt-bronze,,,,,,Sculpture
KG-1034,Unknown Artist,Vajravarahi,1800,28000.0,Painted wood,Painted wood,,,,,,Sculpture
KG-1038,Unknown Artist,Sambara and Rati,1780,5000.0,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1060,Unknown Artist,Krishna with Female Attendants,1601,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1061,Unknown Artist,Yaksha,901,80000.0,Black basalt,Black basalt,,,,,,Sculpture
KG-1062,Unknown Artist,Uma (Parvati),1001,120000.0,copper alloy,copper alloy,,,,,,Sculpture
KG-1063,Unknown Artist,Radha seated with a confidant in a pavilion: Illustration to a Rasikapriya Series,1820,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1064,Unknown Artist,An older Sakhi comforts a forlorn Radha: Illustration to a Rasikapriya Series,1820,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1065,Unknown Artist,Krishna seated with Radha: Illustration to a Rasikapriya Series,1820,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1066,Unknown Artist,Rama,1401,50000.0,Brass,Brass,,,,,,Sculpture
KG-1067,Unknown Artist,Aurangzeb in Court,1701,80000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1068,Unknown Artist,Baz Bahadur and Rupmati Riding at Night,1800,120000.0,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1070,Unknown Artist,A Maiden Approaches a Nobleman,1740,80000.0,Ink drawing with opaque watercolor heightened with gold on paper,Ink drawing with opaque watercolor heightened with gold on paper,10.0,8.0,,,,"Drawing, Collage or other Work on Paper"
KG-1071,Unknown Artist,Buddha Shakyamuni,1001,150000.0,Black basalt,Black basalt,,,,,,Sculpture
KG-1072,Unknown Artist,Pietra-Dura inlaid marble games table,1801,80000.0,Marble,Marble,,,,,,Furniture
KG-1073,Unknown Artist,Buddha Shakyamuni,601,60000.0,Bronze with copper inlay,Bronze with copper inlay,,,,,,Sculpture
KG-1074,Unknown Artist,A Figure of Bodhisattva,801,12500.0,Bronze with silver and copper inlay,Bronze with silver and copper inlay,,,,,,Sculpture
KG-1075,Unknown Artist,Five-pointed spear,1601,80000.0,Gold damascened iron,Gold damascened iron,,,,,,Arms
KG-1076,Unknown Artist,Beauty of Radha,1680,60000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1077,Unknown Artist,A Prince with a Falcon,1701,80000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,9.0,5.0,,,,"Drawing, Collage or other Work on Paper"
KG-1078,Unknown Artist,A Raja and His Courtiers Playing Chaupar,1720,120000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,9.0,6.0,,,,"Drawing, Collage or other Work on Paper"
KG-1079,Unknown Artist,Head of a Bodhisattva,101,50000.0,Gray Schist,Gray Schist,,,,,,Sculpture
KG-1080,Unknown Artist,A bronze figure of Sambandar,901,120000.0,Copper Alloy,Copper Alloy,,,,,,Sculpture
KG-1081,Unknown Artist,Vajrasattva,1301,50000.0,bronze,bronze,,,,,,Sculpture
KG-1082,Unknown Artist,Illustration to the Bhagavata Purana: Pradyumna Weds Rukmavati,1775,50000.0,Ground mineral pigments on paper,Ground mineral pigments on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1083,Unknown Artist,Radha Watching the Approaching Storm,1830,32000.0,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1084,Unknown Artist,A black stone bust of Buddha,1001,150000.0,black stone,black stone,,,,,,Sculpture
KG-1085,Unknown Artist,A sandstone chaturmukhi lingham,701,,Sandstone,Sandstone,,,,,,Sculpture
KG-1086,Unknown Artist,Figures of Venugopala and Radha,1601,22000.0,Brass,Brass,,,,,,Sculpture
KG-1087,Unknown Artist,Brahma,901,,Buff sandstone,Buff sandstone,30.0,,,,,Sculpture
KG-1088,Unknown Artist,A gray schist figure of Buddha,101,,Schist,Schist,,,,,,Sculpture
KG-1089,Unknown Artist,NOT IN KG COLLECTION Gray schist relief of an Elderly Ascetic with a Child,101,,Schist,Schist,,,,,,Sculpture
KG-1090,Unknown Artist,A Gray Schist Torso of Maitreya,101,,Schist,Schist,,,,,,Sculpture
KG-1091,Unknown Artist,Panchamukhalinga,1301,,Red Sandstone,Red Sandstone,,,,,,Sculpture
KG-1092,Unknown Artist,Torso of Buddha,1501,,Sandstone,Sandstone,,,,,,Sculpture
KG-1093,Unknown Artist,Krishna as Vishvarupa,,120000.0,Opaque watercolor on cloth,Opaque watercolor on cloth,56.0,36.0,,,,Thangka
