kg_id,match_score,external_title,decision
KG-1304,100,Lakshmi-Narayana enthroned,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1307,100,A nayika preparing to meet her beloved,"merged: provenance,physical_location,image.alternates"
KG-1309,100,Illustration to a Ragamala series: Tilangi Ragini,"merged: provenance,physical_location,image.alternates"
KG-1310,100,Illustration to a Ragamala series: Srihathi Ragini,"merged: provenance,physical_location,image.alternates"
KG-1037,100,"Illustration to the ‘Large’ Guler-Basohli Bhagavata Purana:
Satadhanva, Akrura, ","merged: physical_location,acquired_from,image.alternates"
KG-1038,100,Sambara and Rati,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1679,100,Illustration to the Ramayana: Vasishtha Teaches Rama and Lakshmana,"merged: physical_location,image.alternates"
KG-1314,100,Illustration to the Ramayana: Rishi Vishvamitra Visits King Dasharatha,"merged: physical_location,image.alternates"
KG-1094,100,Illustration from a Kama Sutra series,merged: acquired_from
KG-1094,100,Illustration from a Kama Sutra series,skipped: KG-# already enriched from earlier source
KG-1094,100,Illustration from a Kama Sutra series,skipped: KG-# already enriched from earlier source
KG-1094,100,Illustration from a Kama Sutra series,skipped: KG-# already enriched from earlier source
KG-1094,100,Illustration from a Kama Sutra series,skipped: KG-# already enriched from earlier source
KG-1094,100,Illustration from a Kama Sutra series,skipped: KG-# already enriched from earlier source
KG-1185,100,Sansar Chand's Marriage Procession,merged: acquired_from
KG-1101,100,Illustration to a Rasikapriya series: Vihit Hava?,merged: acquired_from
KG-1154,100,couple,merged: acquired_from
KG-1243,100,Raja smoking hookah,"merged: physical_location,acquired_from"
KG-1102,100,Sidh Sen,merged: acquired_from
KG-1004,100,Shiva and Parvati on Mount Kailasa,"merged: physical_location,acquired_from"
KG-1106,100,Kamrup and friends at sea from an Urdu version of the Qissa-i Kamrup va Kamlata,merged: physical_location
KG-1107,100,The Shipwreck of Kamrup's Vessel from an Urdu version of the Qissa-i Kamrup va K,"merged: physical_location,acquired_from"
KG-1108,97,Manjnun in the Wilderness,"merged: physical_location,acquired_from"
KG-1110,100,A Prince and His Consort Strolling In a Garden,"merged: physical_location,acquired_from"
KG-1021,100,Bhim Singh with attendants,skipped: KG-# already enriched from earlier source
KG-1022,100,Krishna Playing the Flute with Gopis,"merged: physical_location,acquired_from"
,0,Leaf from the Kalpsutra,no match >= threshold
KG-1003,100,Ganesha,skipped: KG-# already enriched from earlier source
KG-1004,100,Shiva and Parvati,skipped: KG-# already enriched from earlier source
KG-1627,100,Matrika Lotus Mandala,"merged: physical_location,publications_and_exhibitions,image.alternates"
KG-2139,100,Illustration to a Rasikapriya Series: Krishna and Radha at a Jarokha window,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1063,100,Illustration to a Rasikapriya Series: Radha seated with a confidant in a pavilio,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1064,100,Illustration to a Rasikapriya Series: An older Sakhi comforts a forlorn Radha,"merged: provenance,physical_location,acquired_from,image.alternates"
KG-1633,100,Illustration to a Rasikapriya Series: Krishna Enthroned,"merged: provenance,physical_location,acquired_from,image.alternates"
