work_id,missing_core,missing_artsy_required,core_completeness_pct,missing_fields
KG-1761,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1762,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1763,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1764,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1765,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1766,3,1,66.7,"height_in,width_in,primary_image_url"
KG-1767,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1768,2,1,77.8,"artist,primary_image_url"
KG-1769,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1770,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1771,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1772,2,1,77.8,"artist,primary_image_url"
KG-1773,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1774,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1775,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1776,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1777,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1778,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1779,2,1,77.8,"artist,primary_image_url"
KG-1780,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1781,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1782,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1783,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1784,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1785,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1786,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1787,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1788,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1789,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1790,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1791,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1792,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1793,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1794,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1795,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1796,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1797,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1798,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1799,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1800,6,2,33.3,"artist,classification,height_in,width_in,primary_image_url,price_usd"
KG-1801,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1802,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1803,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1804,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1805,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1806,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1807,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1808,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1809,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1810,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1811,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1812,2,1,77.8,"artist,primary_image_url"
KG-1813,2,1,77.8,"artist,primary_image_url"
KG-1814,2,1,77.8,"artist,primary_image_url"
KG-1815,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1816,2,1,77.8,"artist,primary_image_url"
KG-1817,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1818,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1819,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1820,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1821,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1823,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1824,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1825,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1826,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1827,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1828,4,1,55.6,"artist,width_in,primary_image_url,price_usd"
KG-1829,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1830,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1831,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1832,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1833,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1834,6,2,33.3,"artist,medium,height_in,width_in,primary_image_url,price_usd"
KG-1835,7,3,22.2,"artist,classification,medium,height_in,width_in,primary_image_url,price_usd"
KG-1836,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1837,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1838,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1839,4,1,55.6,"artist,height_in,width_in,primary_image_url"
KG-1840,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1841,5,1,44.4,"artist,year,height_in,width_in,primary_image_url"
KG-1842,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1843,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1844,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1845,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1846,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1847,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1848,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1849,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1851,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1852,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1853,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1854,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1855,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1856,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1857,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1858,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1859,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1860,7,2,22.2,"artist,year,medium,height_in,width_in,primary_image_url,price_usd"
KG-1861,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1862,6,2,33.3,"artist,classification,height_in,width_in,primary_image_url,price_usd"
KG-1863,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1864,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1865,5,1,44.4,"artist,height_in,width_in,primary_image_url,price_usd"
KG-1866,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1867,6,1,33.3,"artist,year,height_in,width_in,primary_image_url,price_usd"
KG-1868,4,1,55.6,"artist,height_in,width_in,primary_image_url"
