work_id,title,classification,medium,year,price_usd,ready_when_photographed
KG-2448,Harappa Figurine 1,"Drawing, Collage or other Work on Paper",graphite on paper,2017,8000.0,yes
KG-2449,Harappa Figurine 2,"Drawing, Collage or other Work on Paper",graphite on paper,2017,8000.0,yes
KG-2454,Illustration to the Ramayana: Sita in Ravana's Palace (Scene 100),"Drawing, Collage or other Work on Paper",opaque watercolor heightened with gold on paper,,25000.0,yes
KG-2283,Air India Postcards - Cairo & Moscow,Ephemera or Merchandise,Set of printed postcards,,,yes
KG-2284,Air India 3.31.1993 Ticket BOM - LDN,Ephemera or Merchandise,Printed airline ticket,,,yes
KG-2285,Air India Timetable June 1962,Ephemera or Merchandise,Printed booklet,1962,,yes
KG-2286,"Air India Timetable June 15 - October 31, 1970",Ephemera or Merchandise,Printed booklet,1970,,yes
KG-2287,"Air India Timetable April 1 - August 31, 1979",Ephemera or Merchandise,Printed booklet,,,yes
KG-2288,"Air India Timetable April 1, 1976",Ephemera or Merchandise,Printed booklet,1976,,yes
KG-2299,Air India Boeing 707 Special Flight In Flight Menu,Ephemera or Merchandise,Printed menu card,,,yes
KG-2300,Air India Safety Instructions Pamphlet,Ephemera or Merchandise,Printed pamphlet,,,yes
KG-2351,Rose cut diamond with faceted pavilion,Jewelry,Diamond,1850,,yes
KG-2353,Gold and Sapphire Ring,Jewelry,Gold and sapphire,,,yes
KG-1805,Group of 4 Manuscripts,Other,,,,no
KG-1848,Colophon Page from Manuscript,Other,,,,no
KG-2085,Double-sided page of a book,Other,,,,no
KG-2092,Leaf from a Manuscript depicting Hermits / Hindu Holy Men,Other,,,,no
KG-2136,Walzer Illustrated Manuscript,Other,,,12000.0,no
KG-2240,Malwa Coin (ungraded),Other,,1500,1500.0,no
KG-2241,Akbar (r. 1556-1605) Indian Rupee Coin,Other,Silver,,2000.0,yes
KG-2242,King and Emperor Edward VII India Rupee,Other,silver,1906,2000.0,yes
KG-2243,Queen Victoria India Rupee,Other,Silver,,2000.0,yes
KG-2244,Shah Jahan (r. 1628 - 1658) India Rupee,Other,Silver,,2000.0,yes
KG-2245,Akbar (r. 1556-1605) India Rupee,Other,Silver,,2000.0,yes
KG-2246,King William IV India Rupee,Other,Silver,1835,2000.0,yes
KG-2247,King and Emperor Edward VII India Rupee Coin,Other,,1905,2000.0,no
KG-2261,Parajnaparamita Manuscripts,Other,,,,no
KG-2319,Anthology of Indian Classical Music,Other,,,,no
KG-0012,"A Thangka of Palden Lhamo, 19th century",Painting,Ground mineral pigments on cloth,,28000.0,yes
KG-1005,Untitled (Woman Standing),Painting,Tempera painting on cardboard,1920,15000.0,yes
KG-1035,Thomas Daniell and Robert Havell - 3 engravings,Painting,Aquatint with brown wash,1801,,yes
KG-1483,Man and woman near fire,Painting,Opaque watercolor on paper,,,yes
KG-1715,Buddha Shakyamuni and the Thirty-five Buddhas of Confession,Painting,Mineral pigments on cloth,1401,,yes
KG-1717,Magzor Gyelmo,Painting,Mineral pigment on cloth,1701,22000.0,yes
KG-1718,Abhayakaragupta,Painting,mineral pigments on cloth,1701,40000.0,yes
KG-1720,Four-armed Mahakala with Consort,Painting,Ground mineral pigments on cloth,1701,150000.0,yes
KG-1736,"56 Divinities, Pancaraksa Devi mandala",Painting,Ground mineral pigments on cloth,,400000.0,yes
KG-1737,Shakyamuni,Painting,Ground mineral pigments and gold on cloth,1701,30000.0,yes
KG-1741,"Vajrapani, Hayagriva, Garuda combined",Painting,Ground mineral pigments on cloth,1801,30000.0,yes
KG-1747,Rathore Hunting a Lion / Maharana Ari Singh Hunting,Painting,Opaque watercolor on paper,,,yes
KG-1749,An illustration to a Mahabharata Series: Vidura confers with Dhritharashatra,Painting,Opaque watercolor on paper,1820,,yes
KG-1750,Vidura confers with Dhritharashtra Attributed to Purkhu,Painting,Opaque watercolor on paper,,50000.0,yes
KG-1753,"Vamana, the Dwarf Incarnation of Vishnu",Painting,Opaque watercolor on paper,1750,275000.0,yes
KG-1761,Blind Mans Buff,Painting,Opaque watercolor on paper,1775,50000.0,yes
KG-1769,Hamir Consults With His Advisors While His Archers Hold The Fort,Painting,Opaque watercolor on paper,1810,50000.0,yes
KG-1770,Women in a Hunting Lodge,Painting,Opaque watercolor on paper,1801,40000.0,yes
KG-1774,Love-Lorn Lady,Painting,Opaque watercolor on paper,1850,22000.0,yes
KG-1778,Radha and Krishna with Mirror,Painting,Opaque watercolor on paper,1830,50000.0,yes
KG-1780,The Month of Pausha (Mid December to Mid January),Painting,Opaque watercolor on paper,1800,18000.0,yes
KG-1781,Radha and Krishna under parasol,Painting,Opaque watercolor on paper,1701,40000.0,yes
KG-1783,Krishna on the Road to Kundinapura,Painting,Opaque watercolor on paper,1800,50000.0,yes
KG-1794,Mahakala,Painting,Ground mineral pigments on cloth,1901,,yes
KG-1802,Sarvabuddha Dakini with Dancing Citipati,Painting,Ground mineral pigments on cloth,1701,,yes
KG-1803,Vairocana,Painting,Ground mineral pigments on cloth,1701,,yes
KG-1804,Seventh Dalai Lama,Painting,Ground mineral on cloth,1701,,yes
KG-1806,Jain Cosmological Diagram,Painting,Pigment on linen,1401,,yes
KG-1812,A Mandala Depicting Vajrabhairava,Painting,Opaque watercolor on paper,1701,15000.0,yes
KG-1813,Large Thangka White Tara Tibetan,Painting,gouache on cotton,1801,24000.0,yes
KG-1814,Dipankara Buddha with Arhats Deities,Painting,gouache on cotton,1701,24000.0,yes
KG-1815,Buddha Akshobhya Crown Leaf 14th,Painting,gouache on cotton,1301,,yes
KG-1816,Green Tara with Monks and Deities Thangka,Painting,gouache on cotton,1801,25000.0,yes
KG-1823,A painting of Tsongkhapa,Painting,Opaque watercolor on paper,1801,,yes
KG-1863,Tibetan Thangka of Seated Buddha,Painting,Ground mineral pigments on cloth,1701,,yes
KG-1865,A Bhagavani Sitatapatra Mandala,Painting,Ground mineral pigments on cloth,1535,,yes
KG-1874,Palden Lhamo,Painting,Distemper on cloth,1801,,yes
KG-1879,Four Chinese Paintings of Water Fowl,Painting,Watercolor on pith,1800,,yes
KG-1881,"The Great Pagoda, Trichinopoly",Painting,Aquatint and engraving,1797,,yes
KG-1882,Two Watercolor Street Scenes,Painting,Watercolor,1901,,yes
KG-1918,A Hand Colored Aquatint of Colonel Mordaunt's Cock Match,Painting,Opaque watercolor on paper,,1700.0,yes
KG-2040,Cornelis Boele painting 4,Painting,Opaque watercolor on paper,,,yes
KG-2041,Cornelis Boele painting 1,Painting,Opaque watercolor on paper,,,yes
KG-2042,Cornelis Boele painting 2,Painting,Opaque watercolor on paper,,,yes
KG-2043,Cornelis Boele painting 3,Painting,Opaque watercolor on paper,,,yes
KG-2044,Cornelis Boele painting 5,Painting,Opaque watercolor on paper,,,yes
KG-2055,A Painting of a Drinking Party,Painting,Opaque watercolor on paper,,,yes
KG-2059,An Orange Poppy,Painting,Opaque watercolor on paper,,,yes
KG-2067,Need title,Painting,Opaque watercolor on paper,,,yes
KG-2068,Need title,Painting,Opaque watercolor on paper,,,yes
KG-2069,Need title,Painting,Opaque watercolor on paper,,,yes
KG-2071,Ganesha with Attendants,Painting,Opaque watercolor on paper,,,yes
KG-2072,Rama and Lakshmana in Wilderness,Painting,Opaque watercolor on paper,,,yes
KG-2073,Illustration to Devi Mahatmya: Durga in Battle,Painting,Opaque watercolor on paper,,,yes
KG-2074,Equestrian Scene,Painting,Opaque watercolor on paper,,,yes
KG-2075,Maharaja Dhiraj Singh Hunting Boar,Painting,Opaque watercolor on paper,,,yes
KG-2076,Need title,Painting,Opaque watercolor on paper,,,yes
KG-2077,Man attacked by Bear,Painting,Opaque watercolor on paper,,,yes
KG-2080,Leaf from a Ragini,Painting,Opaque watercolor on paper,,,yes
KG-2081,Courting Scene,Painting,Opaque watercolor on paper,,,yes
KG-2083,Noblewomen Visiting a Shaivite Shrine,Painting,Opaque watercolor on paper,,,yes
KG-2084,Portrait of Ganesha,Painting,Opaque watercolor on paper,,,yes
KG-2087,Ascetic beneath a tree,Painting,Opaque watercolor on paper,,,yes
KG-2090,Rasikapriya of Keshavdas,Painting,Opaque watercolor on paper,1634,,yes
KG-2094,Men on Horseback,Painting,Opaque watercolor on paper,,,yes
KG-2100,Album of Company School Paintings and 19th c. Ephemera,Painting,Opaque watercolor on paper,,26000.0,yes
KG-2102,"Leaf from the Bhagavata Purana: The Story of Creation Varaha, the Boar Incarnation of Vishnu Appears before Brahma, Manu, and Satarupa",Painting,Opaque watercolor on paper,,,yes
KG-2106,Tibetan Thangka depicting Saddha,Painting,Opaque watercolor on paper,,30000.0,yes
KG-2109,Jain Manuscript Pages and Painting,Painting,Opaque watercolor on paper,,,yes
KG-2117,Tibetan Thangka,Painting,Opaque watercolor on paper,,,yes
KG-2118,Tibetan Thangka,Painting,Opaque watercolor on paper,,,yes
KG-2122,Illustrated manuscript,Painting,Opaque watercolor on paper,,,yes
KG-2124,Narasimha Disemboweling Hiranyakashipu,Painting,Opaque watercolor on paper,,,yes
KG-2125,Sudama,Painting,Opaque watercolor on paper,,,yes
KG-2137,Sufi,Painting,Opaque watercolor on paper,,,yes
KG-2138,Company portrait of a lady,Painting,Opaque watercolor on paper,,,yes
KG-2140,Portrait of a Raja,Painting,Opaque watercolor on paper,,,yes
KG-2141,Lady under Canopy,Painting,Opaque watercolor on paper,,,yes
KG-2151,A Thangka of Palden Lhamo,Painting,Distemper on cloth,,15000.0,yes
KG-2152,Lady holding a flower,Painting,Opaque watercolor on paper,,,yes
KG-2153,A Prince taking leave of his Lover,Painting,Opaque watercolor on paper,,,yes
KG-2156,Samdura Mantan,Painting,Opaque watercolor on paper,,,yes
KG-2157,Krishna steals the moon,Painting,Opaque watercolor on paper,,,yes
KG-2158,Snakes and ladders,Painting,Opaque watercolor on paper,,,yes
KG-2159,Orissa Palm Leaf,Painting,Opaque watercolor on paper,,,yes
KG-2163,Krishna Quells the Serpent Kaliya: Illustration from a Bhagavata Purana Series,Painting,Opaque watercolor on paper,,,yes
KG-2170,Painting of a Copper-headed Trinket Snake (Coelognathus Radiatus),Painting,Opaque watercolor on paper,,,yes
KG-2171,gift from Deepak,Painting,Opaque watercolor on paper,,,yes
KG-2175,Kedara Ragini,Painting,Opaque pigments on wasli heightened with gold,,,yes
KG-2176,Abhisandhita Nayika,Painting,Opaque watercolor on paper,,,yes
KG-2177,A Prince Seated with two Courtiers on a Terrace,Painting,Opaque watercolor on paper,,,yes
KG-2178,Rukmini Haran: Krishna Leaves the Court,Painting,Opaque watercolor on paper,,,yes
KG-2179,Harivamsa: Krishna and Pandava Princes Battle Demon Army,Painting,Opaque watercolor on paper,,,yes
KG-2180,Pratka Utka Nayika: Illustration to a Rasikapriya Series,Painting,Opaque watercolor on paper,,,yes
KG-2184,La Poupee,Painting,Oil on canvas,,10000.0,yes
KG-2188,Arhat/Sthavira (Buddhist Elder),Painting,"Ground mineral pigment, red background on cotton",1600,44000.0,yes
KG-2197,A Painting of the Gate at Taj Mahal,Painting,Opaque watercolor on paper,1850,,yes
KG-2220,Osbeckia Angustifolia [Pl. 251],Painting,"Hand-coloured lithograph by M. Gauci, printed by Engelmann & Co.",,6000.0,yes
KG-2224,Thangka Of Two Trailokyavijaya Mandalas,Painting,Ground mineral pigments on cotton,,38000.0,yes
KG-2232,Mandala of the Buddhist Protective Deity Sitatapatra (White Parasol),Painting,opaque water color on cloth,1700,,yes
KG-2256,Mandala of the Buddhist Protective Deity Sitatapatra (White Parasol),Painting,Opaque watercolor on cloth,,,yes
KG-2262,Untitled,Painting,Opaque watercolor on paper,,,yes
KG-2266,Portrait of a Chinese Opium Boat,Painting,Opaque watercolor on paper,,,yes
KG-2309,Miscellaneous Asian artworks (set of ink Krishna works),Painting,Opaque watercolor on paper,,,yes
KG-2322,Devi Mahatmya,Painting,Mixed media on cloth,,,yes
KG-2328,Illustration from the Bhagavata Purana: The Abduction of Rukmini,Painting,Gouache on card,1850,10000.0,yes
KG-2329,Prince and Lady,Painting,Gouache on card heightened with gold leaf,1850,6000.0,yes
KG-2330,Krishna and Consort Receiving Royal Guests,Painting,Gouache on card heightened with gold leaf,1800,15000.0,yes
KG-2331,Shiva and Parvati Worshipped by Deities,Painting,Gouache on card heightened with gold leaf,1800,12000.0,yes
KG-2373,Stopping at the Well,Painting,Oil on panel,,,yes
KG-2374,Figures and Cattle on a Track Overlooking the Sea,Painting,Oil on panel,,,yes
KG-2375,White Tara,Painting,Ground mineral pigments on cloth,,18000.0,yes
KG-2376,"Study: Grasses, Clover, and Queen Anne's Lace",Painting,Oil on Masonite,,,yes
KG-2379,Madonna and Child - Under the Lace Veil,Painting,Opaque watercolor on paper,2010,,yes
KG-2381,A Tipperah View and A View From Suberb,Painting,oil on canvas,1850,,yes
KG-2395,Green Tara,Painting,Ground mineral pigments on cotton,,80000.0,yes
KG-2455,Guru Dragpo,Painting,Ground mineral pigments on cotton,,,yes
KG-2107,"Portrait of the Maharaja of Jaipur, Sawai Man Singh II (India, 1912-1970)",Photograph,Hand colored silver gelatin photograph,,,yes
KG-2166,Group of Thugs,Photograph,Gelatin silver print,,,yes
KG-2268,Jacqueline Kennedy Trip to India,Photograph,photograph,1962,,yes
KG-2269,Crowds Gather - Jacqueline Kennedy Trip to India,Photograph,Photograph,1962,,yes
KG-2293,George Bernard Shaw,Photograph,Photograph,,,yes
KG-2304,Grandpa Siple,Photograph,Gelatin silver print,,,yes
KG-2305,Indian man photo (large scale),Photograph,Gelatin silver print,,,yes
KG-2316,Selection of Company School Admirals and Generals Portraits (4 Men),Photograph,painted photograph,,,yes
KG-2317,Gobardhun - Upper Portion of the Palace,Photograph,Gelatin silver print,,,yes
KG-2318,Marble Tomb of Sheik Selin Christi,Photograph,Gelatin silver print,,,yes
KG-2327,"India, Nepal, Kashmir & Afghanistan Album",Photograph,Photographic prints bound in album,,60000.0,yes
KG-2402,"Interior of Dilwara Temple, Mount Abu, India",Photograph,Photograph,,,yes
KG-2403,H. H. The Nizam’s Daughter,Photograph,photograph,,,yes
KG-2404,"The Taj Mahal from the River Bank Showing the Bathing Ghats, Agra, India",Photograph,photograph,1887,,yes
KG-2405,"The Entrance to Ellora Caves, Aurangabad",Photograph,Photograph,,,yes
KG-2406,"Diwani-E-Khas, Red Fort, Delhi, India",Photograph,photograph,,,yes
KG-2407,"Lake Palace, Udaipur, India",Photograph,Photograph,,,yes
KG-2408,"Inscription on the Tomb of Shamsuddin, Qutub Minar, Delhi, India",Photograph,Photograph,1888,,yes
KG-2409,Gwalior Fort,Photograph,Aquatint with brown wash,1880,,yes
KG-2410,"H.H. The Nizam, Mandapalli, India",Photograph,Photograph,,,yes
KG-2411,Sir Lepal Griffin (Center) and Party at the Chichai Waterfall near Rewa,Photograph,Gelatin silver print,1882,,yes
KG-2412,Water Palace at Deegh,Photograph,Gelatin silver print,,,yes
KG-2413,Onkarjee Mandhata Temple and Ghat,Photograph,Photograph,1886,,yes
KG-2414,"Lake Near Indore, India",Photograph,Photograph,1888,,yes
KG-2415,Agra Port,Photograph,photograph,,,yes
KG-2416,"Qutub Minar, Delhi",Photograph,photograph,,,yes
KG-2417,Indian Elephant,Photograph,photograph,,,yes
KG-1323,Fly TWA – The Orient,Posters,Linen backed poster,1955,,yes
KG-1324,"India, Fly TWA",Posters,Linen backed poster,1960,,yes
KG-1325,Fly TWA - India,Posters,Linen backed poster,1960,,yes
KG-1326,Fly TWA - India,Posters,Linen backed poster,1960,,yes
KG-1365,"India, Air France",Posters,Color lithograph on paper,,,yes
KG-1885,Thomas Daniell and Robert Havell - 3 engravings,Print,Aquatint with brown wash,1801,,yes
KG-2126,"Maharu no asagiri daigo (Morning Mist at Taj Mahal, no.5)",Print,Woodblock print,1932,15000.0,yes
KG-2127,"Night in Taj Mahal, no 6",Print,Woodblock print,1932,15000.0,yes
KG-2128,Caravan from Afghanistan (day),Print,Woodblock print,1932,15000.0,yes
KG-2129,Caravan from Afghanistan: moonlit night,Print,Woodblock print,1932,15000.0,yes
KG-2149,HAL-900,Print,Giclée,,55144.0,yes
KG-2150,Taj Mahal No. 1,Print,Woodblock in colors,1931,12000.0,yes
KG-2202,Golden Temple in Amritsar (Amurissaa),Print,Woodblock print,1931,25000.0,yes
KG-2203,"Ellora, cave temple no.3 (Erora daisango kutsuin)",Print,Woodblock print,1932,25000.0,yes
KG-2204,Snake charmers (Hebizukai),Print,Woodblock print,1932,15000.0,yes
KG-2206,Caravan from Afghanistan: moonlit night,Print,Woodblock print,1932,15000.0,yes
KG-2219,"A Choutry, Or Place of Worship",Print,Aquatint with brown wash,1802,,yes
KG-2236,"A Map of Bengal, Bahar, Oude & Allahabad with Part of Agra and Delhi Exhibiting the Course of the Ganges from Hurdwar to the Sea",Print,Hand-coloured engraved map,1786,6000.0,yes
KG-2237,Colonel Mordaunts Cock Match at Lucknow [Key Image],Print,Hand-colored aquatint with stipple,,6000.0,yes
KG-2272,The Baolee at Ramnagur,Print,Aquatint with brown wash,1803,,yes
KG-2273,A View of the Scotch Church from the Gate of Tank Square,Print,Aquatint with brown wash,1825,,yes
KG-2274,A View of the Tank Square from the West,Print,Aquatint with brown wash,1824,,yes
KG-2275,A View of the Town Hall,Print,Aquatint with brown wash,1825,,yes
KG-2276,A View from the Esplanade Row from Chouringee Road,Print,Aquatint with brown wash,1824,,yes
KG-2310,The Third Cave Temple in Ellora(Erora no daisan no dokutsu jin),Print,Woodblock Print,,15000.0,yes
KG-2311,A Gate to the Stupa of Sanchi (Sanchi no mon),Print,Woodblock print,,15000.0,yes
KG-2312,"Shalimar Garden, Lahore (Sharamaru Gaaden)",Print,Woodblock Print,,15000.0,yes
KG-2313,The Golden Pagoda at Rangoon,Print,Woodblock print,1931,15000.0,yes
KG-2314,The Palace of Udaipur (Udaipuru no shiro),Print,Woodblock print,,15000.0,yes
KG-2420,The Third Cave Temple in Ellora(Erora no daisan no dokutsu jin),Print,Woodblock Print,,15000.0,yes
KG-2422,"Shalimar Garden, Lahore (Sharamaru Gaaden)",Print,Woodblock Print,,15000.0,yes
KG-1018,Indian clay figures,Sculpture,"Clay, hair, cloth",1801,28000.0,yes
KG-1626,Vishnu,Sculpture,Copper alloy,1501,150000.0,yes
KG-1657,Vajravarahi,Sculpture,Bronze,1101,180000.0,yes
KG-1658,Buddha Shakyamuni,Sculpture,Phyllite stone stele,1001,35000.0,yes
KG-1666,Bodhisattva,Sculpture,Inlaid gilt-copper,1301,,yes
KG-1697,A carved sandstone Jina,Sculpture,Sandstone,1001,225000.0,yes
KG-1699,Ganesh,Sculpture,Black stone,1101,360000.0,yes
KG-1700,A stone stele of Shiva and Parvati (Uma Maheshvara),Sculpture,black stone,1001,,yes
KG-1701,A black stone stele of Vishnu,Sculpture,Black stone,1101,,yes
KG-1702,A silver-inlaid bronze figure of Ganesha,Sculpture,Bronze w silver inlay,901,60000.0,yes
KG-1703,A bronze figure of a female retinue figure,Sculpture,Bronze,975,40000.0,yes
KG-1704,A bronze figure of Manjushri or Avalokiteshvara,Sculpture,Bronze,801,50000.0,yes
KG-1705,A bronze figure of Skanda,Sculpture,Copper Alloy,1001,,yes
KG-1707,A bronze figure of the goddess Meenakshi,Sculpture,Bronze,1101,,yes
KG-1708,A bronze figure of Parvati,Sculpture,Copper alloy,1700,68047.0,yes
KG-1709,A bronze figure of Durga,Sculpture,Bronze,1301,50000.0,yes
KG-1710,Shrine of Tirthankara Anantanatha,Sculpture,Bronze with silver and copper inlay,1434,18000.0,yes
KG-1711,A bronze figure of Ganesha,Sculpture,Bronze,1401,8000.0,yes
KG-1712,A gilt-bronze figure of Nandi,Sculpture,gilt-bronze,1301,26000.0,yes
KG-1713,A gilt-bronze figure of Kala Bhairava,Sculpture,Bronze,1501,18000.0,yes
KG-1714,A silver figure of Vajrapani,Sculpture,Silver,1201,80000.0,yes
KG-1716,A bronze figure of Kala Jambhala,Sculpture,Bronze,1501,12000.0,yes
KG-1719,A soapstone figure of Mahakala Panjaranatha,Sculpture,bronze,1601,15000.0,yes
KG-1721,Vajrasattva / Vajrapani,Sculpture,Bronze,1101,,yes
KG-1722,Je Tsongkhapa,Sculpture,Gilt Bronze,1701,43750.0,yes
KG-1723,Amoghapasha,Sculpture,Copper,1401,60000.0,yes
KG-1724,Vajrapani,Sculpture,Gilt Bronze with Polychrome,1601,30000.0,yes
KG-1725,Amitayus,Sculpture,Gilt Bronze,1501,40000.0,yes
KG-1729,Silver Padmapani,Sculpture,Silver,,80000.0,yes
KG-1730,Yama Dharmaraja,Sculpture,Bronze,1701,75000.0,yes
KG-1732,A Sino-Tibetan Gilt-bronze Figure of Avalokiteshvara,Sculpture,Gilt-Bronze,1701,25000.0,yes
KG-1733,Pala Padmapani,Sculpture,Bronze,,80000.0,yes
KG-1734,"Dombini [Dakini, Pala Style (Vajrayogini)]",Sculpture,Copper alloy,,40000.0,yes
KG-1735,Wood Indra,Sculpture,Wood,,95000.0,yes
KG-1742,Figure of Nandi,Sculpture,Sandstone,1101,16000.0,yes
KG-1744,Shiva Nataraja,Sculpture,,,,no
KG-1787,Vajrasattva,Sculpture,Gilt-bronze,1401,,yes
KG-1788,Bon Vajrapani,Sculpture,Gilt bronze,1401,,yes
KG-1789,Amitabha,Sculpture,Gilt bronze,1401,,yes
KG-1790,Tara,Sculpture,Gilt bronze,1501,,yes
KG-1791,Green Tara,Sculpture,Gilt bronze,1501,,yes
KG-1793,Vajrayogini,Sculpture,Gilt-bronze,1701,,yes
KG-1795,Achala,Sculpture,Painting on wood,1701,,yes
KG-1796,Zoomorphic Bardo Mask,Sculpture,Bronze,1701,,yes
KG-1797,Jizo Bosatsu,Sculpture,Wood,1401,,yes
KG-1798,Heruka Hayagriva,Sculpture,Bronze,,,yes
KG-1799,A votive stele of Begtse Chen,Sculpture,Kaolinite,1601,,yes
KG-1801,Flint Box,Sculpture,Cast in repousse silver and bronze with red coral,1801,,yes
KG-1807,Achala,Sculpture,bronze,,,yes
KG-1808,Kapala Ritual item,Sculpture,Gilt bronze and silver with semi-precious stone inlay,1801,,yes
KG-1809,Dipankara,Sculpture,Bronze,2018,6000.0,yes
KG-1810,Temple Rattle,Sculpture,Terracotta,,,yes
KG-1811,A silver repousse charger,Sculpture,Silver,1801,,yes
KG-1817,A gilt-bronze figure of Buddha Shakyamuni,Sculpture,gilt-bronze,1401,,yes
KG-1818,A Nepalese Bronze Figure of Seated Vasudhara,Sculpture,Gilt-bronze,1201,10000.0,yes
KG-1819,A gilt-bronze figure of a bodhisattva,Sculpture,gilt-bronze,1701,6000.0,yes
KG-1820,A gilt-bronze figure of Maitreya,Sculpture,gilt-bronze,1701,,yes
KG-1821,A gilt-bronze figure of Yama Dharmaraja,Sculpture,gilt-bronze,1701,,yes
KG-1825,A stone chaturmukha lingam,Sculpture,Stone,1001,,yes
KG-1826,A Tibetan Bronze Mandala Leaf,Sculpture,Bronze,1201,2000.0,yes
KG-1827,A Tibetan Bronze Mandala Leaf (Hevajra Retinue Figure),Sculpture,Bronze,1201,2000.0,yes
KG-1828,A repousse image of Vishnu,Sculpture,gilt-copper,1601,,yes
KG-1829,A stone figure of Kala Jambhala,Sculpture,stone,,,yes
KG-1830,A votive stele of Kala Jambhala,Sculpture,wood,,,yes
KG-1831,A votive stele of Kala Jambhala,Sculpture,stone,,,yes
KG-1832,A painted bronze figure of Pelden Lhamo,Sculpture,bronze with polychrome,1900,,yes
KG-1833,Figure of Amitayus,Sculpture,Bronze,1801,5000.0,yes
KG-1834,Jambhala,Sculpture,,1901,,no
KG-1836,A gilt-bronze lotus base with prostrate figure,Sculpture,gilt-bronze,1701,,yes
KG-1837,Yama Dharmaraja with Consort,Sculpture,bronze,1801,,yes
KG-1838,A bronze figure of Manjushri,Sculpture,bronze,1201,,yes
KG-1839,A Tibetan Parcel-Gilt Bronze Figure of Tsongkapha,Sculpture,Gilt-bronze,1801,5000.0,yes
KG-1840,Manjugosha,Sculpture,Gilt bronze,1701,,yes
KG-1841,A Tibetan Parcel-gilt figure of a Seated Lama,Sculpture,Parcel-gilt bronze,,4000.0,yes
KG-1842,A bronze figure of a deity,Sculpture,Bronze,1901,,yes
KG-1843,A bronze figure of Vajrabhairava,Sculpture,Bronze,,,yes
KG-1845,Vajrayogini,Sculpture,gilt-bronze,,,yes
KG-1846,A bronze stele of a deity,Sculpture,bronze,1701,,yes
KG-1847,Laughing Buddha,Sculpture,,,,no
KG-1851,A gilt-bronze figure of Tara,Sculpture,Gilt bronze,,,yes
KG-1852,Gold statue of man with many heads,Sculpture,Gold,,,yes
KG-1853,Gold statue with animal head dancing,Sculpture,Gold,,,yes
KG-1854,Bell,Sculpture,,,,no
KG-1855,Gold statue with many arms,Sculpture,Gold,,,yes
KG-1856,Small bowl with image of lady inside,Sculpture,,,,no
KG-1857,Gold bell shaped object,Sculpture,Gold,,,yes
KG-1858,Gold statue many arms and heads (w/ base),Sculpture,Gold,,,yes
KG-1859,Large statue with many arms legs heads,Sculpture,,,,no
KG-1860,Sitting man with hand raised,Sculpture,,,,no
KG-1861,A gilt copper alloy shrine to dancing Ganesha,Sculpture,Gilt copper alloy,969,,yes
KG-1864,Bodhisattva,Sculpture,Copper alloy,901,,yes
KG-1866,Framed collection of four large Tibetan carved bone apron ornaments,Sculpture,Bone,,,yes
KG-1867,Framed collection of seventeen small Tibetan carved bone apron ornaments,Sculpture,Bone,,,yes
KG-1868,A Nepalese carved wood mask of Bhairava,Sculpture,"Wood, traces of pigment",1401,8000.0,yes
KG-1870,Chakrasamvara with consort in Yab-Yum Bhutan,Sculpture,Polychrome wood,1701,6000.0,yes
KG-1871,Jambhala,Sculpture,Stone,1201,,yes
KG-1935,Ganesh,Sculpture,bronze,801,,yes
KG-1936,A Gandharan Sandstone Head of Buddha Shakyamuni,Sculpture,Sandstone,101,,yes
KG-1937,Bust of Vishnu,Sculpture,Stone,701,,yes
KG-1938,Sitting Parvati,Sculpture,Bronze,1801,,yes
KG-1939,Cast Brass Lion Form Palki Handle,Sculpture,Brass,1801,3000.0,yes
KG-1940,Brahma Head,Sculpture,Stone,1001,,yes
KG-1941,Figurine of Parvati,Sculpture,Bronze,901,,yes
KG-1945,A Bronze Figure of Krishna,Sculpture,Bronze,1401,,yes
KG-1946,A sandstone head of Muchalinda,Sculpture,Sandstone,1101,,yes
KG-1948,Anglo Indian inlaid hardwood box,Sculpture,"teakwood with bone and ebony inlay, brass mounts,",1801,,yes
KG-1949,Elephant Shaped Sprinkler for Holi,Sculpture,Brass,1801,,yes
KG-1950,Group of 4 Betel Scissors,Sculpture,Copper Alloy,1801,,yes
KG-1951,Large Anglo-Indian Inlaid Box,Sculpture,Inlaid wood,1801,,yes
KG-1952,Ceremonial Shield,Sculpture,brass,1900,,yes
KG-1954,Repousse Indian Bowl,Sculpture,,,,no
KG-1955,A sandstone relief of a Nagaraja couple,Sculpture,Sandstone,501,,yes
KG-1956,A Mathuran pillar,Sculpture,Sandstone,,,yes
KG-1957,A Mathuran pillar,Sculpture,Sandstone,,,yes
KG-1958,Red Sandstone Stele of a Four-Armed Deity,Sculpture,Sandstone,901,15000.0,yes
KG-1959,A spotted red sandstone head of a male,Sculpture,Spotted red sandstone,101,,yes
KG-1960,A bronze stepped lotus mandala base,Sculpture,Bronze,1101,,yes
KG-1961,"A terracotta head of a male deity, probably Indra",Sculpture,Terracotta,401,,yes
KG-1962,A Bronze Butter Lamp Depicting Gaja Lakshmi,Sculpture,Bronze,1601,,yes
KG-1963,A brass figure of Krishna,Sculpture,Brass,1401,,yes
KG-1964,A brass tiger-head box,Sculpture,Brass,1701,,yes
KG-1965,Figure of Garuda,Sculpture,Terracotta,,,yes
KG-1966,A pewter and brass spice or pandan box adorned with birds,Sculpture,Brass,1801,,yes
KG-1967,A brass Shiva lingam cover,Sculpture,Brass,1701,60000.0,yes
