j,Image,Title,Origin,Date,Medium ,Dimensions,Physical Location,File Location,Acquired From,Literature & Exhibited,Provenance,Essay Writtenn( Yes/No),
2022,,Illustration to the Ramayana: Vasishtha Teaches Rama and Lakshmana,Mewar,1700-1710,Opaque watercolor heightened with gold on paper,"Image: 9 1/4 x 14 3/4 in. (23.5 x 37.5 cm.)
Folio: 10 1/4 x 15 7/8 in. (26 x 40.3 cm.)",Drawer 14,https://drive.google.com/drive/folders/1xA7aMwDPri0QSveBOUbRvsbtGuV8b5pL?usp=sharing,,,,,
2022,,Illustration to the Ramayana: Rishi Vishvamitra Visits King Dasharatha,Mewar,Early 18th century,Oapque watercolor on paper,"Image: 8 ⅝ x 14 ⅝ in. (20.3 x 35.6 cm.)
Folio: 10 ⅛ x 15 ⅝ in. (25.4 x 38.1 cm.)",Drawer 14,https://drive.google.com/drive/folders/1jddGJqnjg2YolLdN82y048MONyd0AbPH?usp=sharing,,,,,
,,,,,,,,,,,,,
2022,,Illustration from a Kama Sutra series,Kangra,,,,,,https://drive.google.com/drive/folders/1m9eqETq9aOqSh-SUjg6ah66fAoS4VXxF?usp=sharing,,,,
2022,,Illustration from a Kama Sutra series,Kangra,,,,,,https://drive.google.com/drive/folders/1yT59eIEx0mU9BWaRIJdEu6GdlurECo5n?usp=sharing,,,,
2022,,Illustration from a Kama Sutra series,Kangra,,,,,,https://drive.google.com/drive/folders/1EWtlJzIKy0oAu9H5X9_up06G-XvovQe7?usp=sharing,,,,
2022,,Illustration from a Kama Sutra series,Kangra,,,,,,https://drive.google.com/drive/folders/1xheve1mNDXOcw1OgnAIefVHHmWSHajBW?usp=sharing,,,,
2022,,Illustration from a Kama Sutra series,Kangra,,,,,,https://drive.google.com/drive/folders/18SxLC-BOd3o_LLWUWoZhhLD_TnR7p0Tx?usp=sharing,,,,
2022,,Illustration from a Kama Sutra series,Kangra,,,,,,https://drive.google.com/drive/folders/1KqJoVb5eaD_g_j9-otR304OzXFniEE3U?usp=sharing,,,,
2022,,Sansar Chand's Marriage Procession,,,,Opaque watercolor heightened with gold on paper,,,https://drive.google.com/drive/folders/1QqKsDlK9RvH4wRqq4lgDpidD9sZD80q4?usp=sharing,,,,
,,,,,,,,,,,,,
2022,,Illustration to a Rasikapriya series: Vihit Hava?,,By Purkhu for Raja Sansar Chand ,circa 1830-1840,Opaque watercolor heightened with gold on paper,,"Closet, A3",https://drive.google.com/drive/folders/1Rpn9HIa8spV1rbU9KDUxUD9tA3L_5mr8?usp=sharing,,,,
2022,,couple,,,,Opaque watercolor heightened with gold on paper,,,https://drive.google.com/drive/folders/1u-UlNCaIH6VOR1m574QxiszLof2gQf-l?usp=sharing,,,,
2022,,Raja smoking hookah,,,,Opaque watercolor heightened with gold on paper,"Closet, A3",,https://drive.google.com/drive/folders/1_gHnF8Cnm40GlA163dJMFPAF1Wz_Vw5x?usp=sharing,,,,
2022,,Sidh Sen,,Mandi,,Opaque watercolor heightened with gold on paper,,,https://drive.google.com/drive/folders/1EXQ6tarII8T1aoBXRg3tDxP7N6Dz53mI?usp=sharing,,,,
2022,,Shiva and Parvati on Mount Kailasa,,Mandi,Circa 1820s,Opaque watercolor heightened with gold on paper,"Image: 7 ¾ x 5 3/8 in. (19.6 x 13.6 cm.)
Folio: 11 x 8 ½ in. (28 x 21.5 cm.)",,https://drive.google.com/drive/folders/1pVWFkH7Quj27BFHuU-8wW8-vaFfBpf9d?usp=sharing,,,,
,,,,,,,,,,,,,
2022,,Kamrup and friends at sea from an Urdu version of the Qissa-i Kamrup va Kamlata,,Kashmir,Circa 1800,Opaque watercolor heightened with gold on paper,"Image: 9 7/8 x 5 7/8 in. (25 x 15 cm.)
Folio: 10 7/8 x 6 7/8 in. (27.6 x 17.5 cm.)",, ,,,,
2022,,The Shipwreck of Kamrup's Vessel from an Urdu version of the Qissa-i Kamrup va Kamlata,,Kashmir,Circa 1800,Opaque watercolor heightened with gold on paper,"Image: 9 7/8 x 5 3/4 in. (25 x 14.6 cm.)
Folio: 10 7/8 x 6 7/8 in. (27.6 x 17.5 cm.)",,https://drive.google.com/drive/folders/1Ds_PsTMHIEiF5CqLbM_m6W-kc0EdbDGH?usp=sharing,,,,
2022,,Manjnun in the Wilderness,,"India, Mughal or Sub-Imperial",mid-17th Century,Opaque watercolor on paper heightened with gold,"Image: 7⅜ by 4¼ in. (18.7 by 10.8 cm)
Folio: 8⅜ by 5⅜ in. (21.3 by 13.6 cm), unframed",,https://drive.google.com/drive/folders/1-9iG0S-1286xXAOvlP41O5l7gwX_KOyD?usp=sharing,,,,
2022,,A Prince and His Consort Strolling In a Garden,,"India, Guler",circa 1800-1810,Opaque watercolor heightened with gold on paper,"Image: 6 ⅜ by 4 in. (16.2 by 10.2 cm)
Folio: 9 ⅜ by 6 ⅞in. (23.8 by 17.5 cm)",,https://drive.google.com/drive/folders/1HNDKPUmBW_NLocjNuc-YjWCcIi42vgId?usp=sharing,,,,
2022,,Bhim Singh with attendants,,"Mewar, attributed to Baghta",19th century,Opaque watercolor heightened with gold on paper,Image: 6 5/8 x 9 ½ in.,,https://drive.google.com/drive/folders/1ksjZZ_tsIORaw5Ik5caBhtvH38Xoaai8?usp=sharing,,,,
2022,,Krishna Playing the Flute with Gopis,,"Rajasthan, Jaipur",late 18th – early 19th century,Opaque watercolor heightened with gold on paper,Image: 11 ½ x 14 ¾ in.,,8888,,,,
,,,,,,,,,,,,,
2022,,Leaf from the Kalpsutra ,,,,,,,https://drive.google.com/drive/folders/15FSEH3oU7JP1agbp2pR2XBzIyBB022BL?usp=sharing,,,,
,,,,,,,,,,,,,
From 2021 Catalog,,,,,,,,,,,,,
2021,,Ganesha,"Northeastern India, Pala Dynasty",11th century,Gray basalt,26 x 14 1/3 x 3 1/3 in. (66 x 36.3 x 8.4 cm.),Gallery,https://drive.google.com/drive/folders/1eUc4r2EcwE6taMbe0fMBS8UXNDziAt4E?usp=sharing,,,"From the collection of Jean-Claude Moreau- Gobard, 1960’s",,
,,,,,,,,,,,,,
2021,,Shiva and Parvati,Murshidabad,circa 1780,Opaque watercolor heightened with gold on paper,"Image: 10 x 8 in. (25.7 x 20.3 cm.)
Folio: 11 x 9 in. (28.2 x 22.9 cm.)

",Gallery,https://drive.google.com/drive/folders/1PGU9-YkiEcledcebSM6B0s8A41nCsIVr?usp=sharing,Rob Dean Art Ltd 11/1/2020,,Acquried by the present owner on the UK art market,,
2021,,Matrika Lotus Mandala,Nepal,16th-17th century,Copper alloy,7 ⅛ in. (18.3 cm.) diameter,glass case,https://drive.google.com/drive/folders/1mgrDYrTaq7U8odMn1o52WlSxMxK2nK1w?usp=sharing,,HAR item no. 7628,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2021,,Illustration to a Rasikapriya Series: Krishna and Radha at a Jarokha window,"Kangra, attributed to Purkhu",circa 1820,Opaque watercolor heightened with gold on paper,"Image: 10 3/8 x 6 ¾ in. (26.4 x  17.3 cm.)
Folio: 12 7/8 x 9 ¼ in. (32.8 x 23.5 cm.)
",Gallery 4/28,https://drive.google.com/drive/folders/1xA5PEAtcQ8PltpvXdhZSA0cxRqpM3KOx?usp=sharing,"Christie's London, Arts of India: Heavenly Gods and Earthly Pleasures, 26 June 2020, lot 68",,Mandi Royal Collection. Private English Collection.,,
2021,,Illustration to a Rasikapriya Series: Radha seated with a confidant in a pavilion,"Kangra, attributed to Purkhu",circa 1820,Opaque watercolor heightened with gold on paper,"Image: 10 7/8 x 7 in. (27.6 x  17.7 cm.)
Folio: 13 x 9 ¼ in. (33 x 23.5 cm.)
",Gallery,https://drive.google.com/drive/folders/1nCtXMVQuwg69piZfn7Tx-xKxRVU53aUT?usp=sharing,"Christie's London, Arts of India: Heavenly Gods and Earthly Pleasures, 26 June 2020, lot 69",,Mandi Royal Collection. Private English Collection.,,
2021,,Illustration to a Rasikapriya Series: An older Sakhi comforts a forlorn Radha,"Kangra, attributed to Purkhu",circa 1820,Opaque watercolor heightened with gold on paper,"Image: 10 x 6 ½ in. (25.4 x  16.4 cm)
Folio: 12 7/8 x 9 1/8 in. (32.8 x 23.1 cm.)
",Gallery,https://drive.google.com/drive/folders/1zC_qUk8YXsl9D9VZEvF0ulmly6Tp83PC?usp=sharing,"Christie's London, Arts of India: Heavenly Gods and Earthly Pleasures, 26 June 2020, lot 67",,Mandi Royal Collection. Private English Collection.,,
2021,,Illustration to a Rasikapriya Series: Krishna Enthroned,"Kangra, attributed to Purkhu",circa 1820,Opaque watercolor heightened with gold on paper,"Image: 10 1/8 x 6 ¾ in. (25.7 x  17.2 cm.)
Folio: 12 7/8 x 8 5/8 in. (32.4 x 21.9 cm.)
",Closet A2,https://drive.google.com/drive/folders/10NTlarXW0TcSMnobGIyz8X6QL2DM8PBA?usp=sharing,"Christie's London, Arts of India: Heavenly Gods and Earthly Pleasures, 26 June 2020, lot 30",,"Mandi Royal Collection, Private English Collection.",,
2021,,Illustration to a Rasikapriya series: Krishna seated with Radha  ,"Kangra, attributed to Purkhu",circa 1820,Opaque watercolor heightened with gold on paper,"Image: 9 ¾ x 6 ½ in. (24.8 x  16.5 cm.)
Folio: 13 x 9 1/8 in. (33 x 23.2 cm.)
",Gallery,https://drive.google.com/drive/folders/1VtCwbmbmkpSJZ4vrNXgakha4AwZWpr_Z?usp=sharing,"Christie's London, Arts of India: Heavenly Gods and Earthly Pleasures, 26 June 2020, lot 28", ,"Mandi Royal Collection, Private English Collection.",,
2021,,Illustration to a Rasikapriya series: Krishna conversing with a Sakhi  ,"Kangra, attributed to Purkhu",circa 1820,Opaque watercolor heightened with gold on paper,"Image: 9 3/4 x 6 3/8 in. (24.8 x  16.2 cm.)
Folio: 13 x 9 1/8 in. (33 x 23.2 cm.)
",Gallery,https://drive.google.com/drive/folders/1SrIZ19l6J4u2Ip9MROPEHGtfadKsofmm?usp=sharing,"Christie's London, Arts of India: Heavenly Gods and Earthly Pleasures, 26 June 2020, lot 9", ,"Mandi Royal Collection (gifted to the vendor in the UK in the late 70s or early 80s), Private English Collection.",,
2021,,A Nayika Writing a Note,Kangra,circa 1810-1830,Opaque watercolor heightened with gold on paper,Image: 8 1/4 x 6 in. (21 x 15.2 cm.) Folio: 9 3/4 x 7 3/4 in. (24.8 x 19.7 cm.),Closet cabinet,https://drive.google.com/drive/folders/1RqeJcdyX9g-725p8VSBPJxpmjnSaX45S,,,,,
2021,,Maiden with Mirror,Kangra,circa 1810,Opaque watercolor heightened with gold on paper,"Image: 4 7/8 x 3 5/8 in. (12.4 x 9.2 cm.)
Folio: 6 x 4 7/8 in. (15.2 x 12.4 cm.)",Laura?,https://drive.google.com/drive/folders/1u7hNzYtJtZ5PDfHPtX--T66f_4mJKn1m?usp=sharing,Rago 4/14/19 lot 1006,,"Lawner.
The Collection of Hellen and Joe Darion, New York, by February 1968 (no. 39).",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2021,,Rama,"Eastern India, Orissa",15th century,Brass,16 1/4 in. (41.2 cm.) high,glass case,https://drive.google.com/drive/folders/1pygSqSMEsq5cHRpwg_GAqQJgcZIrCDya?usp=sharing,,,"Acquired in the 1990’s, New York",,
,,,,,,,,,,,,,
2021,,Lord Kubera,"Rajasthan, Udaipur",circa 1720,Opaque pigments on paper,"Image: 8 3/4 x 7 in. (22.2 x 17.8 cm.)
Folio: 10 x 8 1⁄2 in. (25.5 x 21.6 cm.)","closet, B2 ",https://drive.google.com/drive/folders/1sTTNU0W-BqCJB1vP54GGZmHAIQvuyxvI?usp=sharing,"Rita Dixit, Indian Miniatures, Gods and Gardens: Divinity, Magic, and Faith, cat. 6.",,Private European collection.,,
2021,,"Leaf from a Panch Kalyanaka of 
Rishabhanatha series:
 Prince Shreyans Achieves Jati-smaran Gyan","Rajasthan, Amber",1720 - 1750,Opaque watercolor on paper,"Image: 9 x 15 in. (22.8 x 38.1 cm.)
Folio: 10 1/2 x 16 1/2 in. (26.6 x 41.9 cm.)",Closet cabinet,https://drive.google.com/drive/folders/1csQXFtp0AeNp7jMwX8bDdp2X2y170zdr?usp=sharing,,,,,
2021,,Illustration to the Ashta Nayika: Abhisandhita Nayika,Kangra,late 19th century,Opaque watercolor heightened with gold on paper,"Image: 8 ¼ x 11 ⅞ in. (21 x 30.2 cm.)
Folio: 10 ½ x 14 ⅛ in. (26.7 x 35.9 cm.)
",Gallery,https://drive.google.com/drive/folders/1SRpvDQnklqHDHFBNBkzZG4tqPMNiK2If?usp=sharing,,,"Private New York collection, acquired in the 1970s.",,
2021,,Ganesha Enthroned,Kangra,first half of the 19th century,"Opaque watercolor heightened with gold on paper
",10 3/4 x 11 in. (27.2 x 28 cm.),Framed; office,https://drive.google.com/drive/folders/1HK8238GsU_bnNaJMxOxX-qfE7T6TMtFE?usp=sharing,,,"

",,
2021,,"Folio from an Usha-Aniruddha romance series: Chitralekha visits Aniruddha in Dwarka
",Garwhal,circa 1840,Opaque watercolor heightened with gold on paper,9 x 12 in. (22.9 x 30.5 cm.),Gallery 4/28,https://drive.google.com/drive/folders/1cQ_HIbHGHc-DaZQmB8uo06O45WaQYQjJ?usp=sharing,,,From a Private European Collection.,,
2021,,Seated Nobleman on a Terrace,Attributed to Pandit Seu and his family workshop,circa 1750,"Opaque watercolor heightened with gold on paper 
","Image: 7 1/8 x 5 3/8 in. (18.2 x 13.6 cm.)
Folio: 11 1/2 x 7 7/8 in. (29.1 x 20.1 cm.)","Poster House Show,
Framed C2",https://drive.google.com/drive/folders/1-b6ztm3x8V3MfvnhijJkYTpSQxAutHgp?usp=sharing,"Christie's 3/20/19, lot 713",,"Christie's New York, 20 March 2019, lot 713. Exhibited at Poster house",,
2021,,Women in the Zenana,Mughal,17th century,Opaque watercolor heightened with gold on paper,"Image: 9 x 5 in. (22.5 x 12.5 cm.)
Folio: 11 ¾ x 7 ½ in. (30 x 19 cm.)
",Gallery,https://drive.google.com/drive/folders/1-lOFx1_RQEd6NbL6Cend4wymJYFU7oco?usp=sharing,,,"Chrisite's London, 25 April 2013, lot 172.",,
2021,,Aurangzeb in Court,"Pahari, probably Bilaspur",mid-18th century,Opaque watercolor heightened with gold on paper,8 1/2 x 11 3/4 in. (21.6 x 29.8 cm.),Drawer 11,https://drive.google.com/drive/u/0/folders/1NmqnCAzKFht22hHflRugf9XJ0YsckQzc,,,,,
2021,,Baz Bahadur and Rupmati Riding at Night,"Mughal, probably Awadh",circa 1800,Gouache heightened with gold on paper,Image: 7 3/4 x 10 1/8 in. (19.7 x 25.7 cm.) Folio: 8 3/8 x 10 7/8 in. (21.2 x 27.6 cm.),STOLEN BY RAMESH,https://drive.google.com/drive/u/1/folders/17FW3DYX-l9izB2R1LvUUn5dPBDhB45Y0,,"Published: 
Daniel J. Ehnbom, Indian Miniatures: The Ehrenfeld Collection, New York, 1985, p.76-7, no.30.
Kapoor Galleries, A Sterling Collection of Indian & Himalayan Art, New York, 2011, no.15.

Exhibited:
Indian Miniatures from the Ehrenfeld Collection, American Federation of Arts, circulated September 1985-November 1987.","The Ehrenfeld Collection, California
Sotheby's, New York, 6 October 1990, lot 19
Carlton Rochell Asian Art, New York
The Sterling Collection, USA, 2011.",,
2021,,Maharaja Abhai Singh Receiving Thakur Bhandari Girdhar Das,Jodhpur,circa 1725-1730,Opaque watercolor heightened with gold on paper,12 1/4 x 9 3/4 in. (31.1 x 24.8 cm.),portfolio,https://drive.google.com/drive/folders/1NkC9vFawtCsdgnReblHlEE2T34y-y9F4?usp=sharing,"Christie’s New York, 14 September 2010, lot 203.","Rosemary Crill, Marwar Painting, a History of the Jodhpur Style (Mumbai: India Book House, 2000), p. 75, fig. 46.","The collection of Robert O. Muller.
Christie’s New York, 14 September 2010, lot 203.",,
,,,,,,,,,,,,,
2021,,Rao Bishan Singh Watching an Elephant Fight,Bundi ,circa 1804-1821,Gouache heightened with gold on paper,14 1/2 x 12 3/4 in. (36.8 x 32.4 cm.),Consigned to Christies September 2021,https://drive.google.com/drive/u/1/folders/1nkmubnI5-Ixa3YUKz4YWQKWfzTL2BoK-,,,Private European collection.,,
2021,,A Maiden Approaches a Nobleman,Kishangarh,circa 1740,Ink drawing with opaque watercolor heightened with gold on paper ,10 1/2 x 8 1/4 in. (26.7 x 21 cm.),"closet, G3 ",https://drive.google.com/drive/u/1/folders/1pnXyVesuIYgKcTyyvHyqakHh8XFLkOgx,Abel Auctions,,"Doris Wiener Gallery. 
Dorothy Seisel, 322 82nd Street, NY, NY.",,
2021,,Shah Jahan at a Jarokha Window,Mankot or Nurpur,mid-18th century,Opaque watercolor heightened with gold on paper ,"Image: 8 x 5 ½ in. (20.3 x 14 cm.) 
Folio: 9 x 6 in. (22.9 x 15.2 cm.)
",Drawer 11,https://drive.google.com/drive/u/1/folders/1GQngw1z_sCKyapNdkLodl9dayOy3tCxO,,"Pal, Pratapaditya, Romance of the Taj Mahal (Los Angeles County Museum of Art: 1989), p. 236-234, no. 254.",,,
2021,,Print from the India and Southeast Asia series: “Taj Mahal No. 1” ,"Yoshida Hiroshi (1876-1950), Japan",1931,Woodblock in colors,10 x 14 3/4 in. (25.4 x 37.5 cm.),"Closet, A2",https://drive.google.com/drive/folders/1F_uDTlxYxGg0wU7dum8ZJfH6ZjNKDdV6?usp=sharing,"RAGO
8/28/2018
lot 126",,,,
2021,,Pietra-Dura inlaid marble games table,Agra,19th century,Marble,"24 1/2 in. (62.2 cm.) in diameter 
22.5 in. (57.2 cm.) high",Gallery,https://drive.google.com/drive/folders/1DmLNQ3M7G4hy68MTYYJ9I0mKg3bHaDnI?usp=sharing,,,"Sotheby's New York, 28 October 1991, lot 182.",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2021,,Five-pointed spear,Tibet,17th-18th century,,20 in. long (without stand),Gallery,https://drive.google.com/drive/folders/1RXhqQrrOn8N1DqYGrKhEito7eEWlQX7N?usp=sharing,"Runjeet Singh, 23 October 2020.",,"Jean Claude Moreau-Gobard.
The Andrault Collection.",,
2021,,Konchog Bang,Tibet,18th century,Distemper on cloth,28 ¼ x 19 in. (72 x 48 cm.),"storage, Crawford",https://drive.google.com/drive/folders/1JY-AsFMv4H-vFNBqn30guzW5SusUKMyl?usp=sharing,Sun Ming Collection,Himalayan Art Resources item no. 88593,Private UK Collection,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
From 2020 Catalog,,,,,,,,,,,,,
,,Brahma with Devotees,Bikaner,circa 1630-1640,Opaque watercolor heightened with gold on paper,10 1/8 x 7 5/8 in. (25.7 x 19.4 cm.),"Framed,
Closet, B2",https://drive.google.com/drive/folders/1LxUolBY-IfTBjc0f8_L7T8fhDShCG4Op?usp=sharing,"Christie's 3/20/19, lot 710",,Josefowitz (internal only),,
,,A Maharishi on a Terrace ,Bikaner,circa 1700,Opaque watercolor heightened with gold on paper,"Image: 10 x 7 1/4 in. (25.4 x 18.4 cm.) 
Folio: 12 x 9 1/4 in. (30.5 x 23.5 cm.) ","Framed,
C2",https://drive.google.com/drive/folders/1P_PTAiTfJJquzKGD28c_mqd0SjCiId4Y?usp=sharing,?,0,Private American collection.,,
,,Narasimha Disemboweling Hiranyakashipu ,"Mughal, probably Rajasthan",17th century,Opaque watercolor heightened with gold on paper,8 1/2 x 12 in. (16 1/4 x 11 1/2 cm.),"closet,
Framed B2",https://drive.google.com/drive/folders/1ldAhx8kuwxw9qUVd_9fVqAtt6EaWOBAk?usp=sharing,?,,"Private collection, Ohio.",,
,,Illustration to a Rasikapriya series: Beauty of Radha ,Bundi,circa 1680,Opaque watercolor heightened with gold on paper,11 3/8 x 5 7/8 in. (28.9 x 14.9 cm.),Drawer 14,https://drive.google.com/drive/folders/1x803Dd5yD_8ZJE_ImFOzYTQftYOinZ1F?usp=sharing,"Acquired from Michael Goedhius of Colnaghi Oriental, London, by Francoise et Claude Bourelier, Paris, 18 February 1987.",,"Michael Goedhius Colnaghi Oriental, London.
Acquired from the above by Francoise et Claude Bourelier, Paris, 18 February 1987. Artcurial, Paris, 12 May 2015, lot 292.",,
,,A leaf from a Panchatantra Series (or ‘Panchakhyana’ Series),Mewar,circa 1725,Opaque watercolor heightened with gold on paper,"Image: 7 ½ x 7 ⅛ in. (19 x 18 cm.) 
Folio: 13 x 10 ⅜ in. (33 x 26.5 cm.) 
","Framed,
A2",https://drive.google.com/drive/folders/1wHS5ZdGpTTD1Mwqnixgispq1FnUEDcF3?usp=sharing,,,"Private collection.
Bonham's New York, 11 September 2012, lot 124.
Christie's New York, 27 September 2017, lot 251.",,
,,An illustration to a Ragamala Series: Nat Ragini ,Datia,circa 1725,Opaque watercolor heightened with gold on paper,"Image: 9 x 6 1/4 in. (22.8 x 16 cm.)
Folio: 13 x 10 1/4 in. (33 x 26 cm.)","Framed,
A2",https://drive.google.com/drive/folders/1K-dv-tw_XpKGOk8B_bqCm_8RKDmhvFEn?usp=sharing,,,"Christie’s New York, 27 September 2017, lot 251. 
Bonhams New York, 11 September 2012, lot 63. 
",,
,,An illustration to the Ramayana: Rama and Lakshmana,"Attributed to Pandit Seu, Basohli",circa 1730,Opaque watercolor heightened with gold on paper,"Image: 8 1/4 x 12 1/4 in. (20.1 x 31.1 cm.)
Folio: 8 1/2 x 12 1/2 in. (21.6 x 31.8 cm.)","closet, cabinet",https://drive.google.com/drive/folders/1SO5hr7x5blILHYjzwZy0EJIuksVU32Cr?usp=sharing,?,,"Owner's father acquired them in the 1960's in India. They date back to the 1700's. He was a recognized collector from San Francisco. The family ran the Hale Bros Department Stores in SF, later became Carter, Hawley, Hale Stores..and later acquired a number of retail store chains including Nieman Marcus. He collected Monet, Manet, Morisot, Degas, Renoir, among others. There is a Renoir he donated to the Legion of Honor Museum in the SF Presidio. Do not know the exact date of the Stanford exhibition.
",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,A Raja and His Courtiers Playing Chaupar,Guler or Basohli,1720-1750,Opaque watercolor heightened with gold on paper,"Image: 9 1/4 x 6 1/2 in. (23.5 x 16.5 cm.)
Folio: 10 1/2 x 7 3/4 in. (26.7 x 19.7 cm.)",apartment,https://drive.google.com/drive/folders/1G5lNsmthk3OpSkVXJcBTbs53AcHfW48G?usp=sharing,purchased from small auction in NY,,"Owner's father acquired them in the 1960's in India. They date back to the 1700's. He was a recognized collector from San Francisco. The family ran the Hale Bros Department Stores in SF, later became Carter, Hawley, Hale Stores..and later acquired a number of retail store chains including Nieman Marcus. He collected Monet, Manet, Morisot, Degas, Renoir, among others. There is a Renoir he donated to the Legion of Honor Museum in the SF Presidio. Do not know the exact date of the Stanford exhibition.
",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,A portrait of a woman with a cat,Delhi,late 18th century,Opaque watercolor heightened with gold on paper,"Image: 6 1/4 x 4 in. (15.9 x 10.2 cm.)
Folio: 11 3/4 x 8 1/4 in. (29.8 x 21 cm.).",Drawer 11,https://drive.google.com/drive/folders/1vjfOjWo5JevGOh6Dv6z1wZVjn15u3nhI?usp=sharing,Andy Schoelkopf,,"From a distinguished New York collection, acquired 1968.",,
,,,,,,,,,,,,,
,,"
Maharaja Vijay Singh of Marwar",Jodhpur,1805-1815,Opaque watercolor heightened with gold on paper,"Image: 10 3⁄4 x 15 in. (27.3 x 38.1 cm.)
Folio: 12 1⁄2 x 17 in. (32 x 43 cm.)","basement,
BB2",https://drive.google.com/drive/folders/1KuT3SkpxeI4q1_mrt3fjQuDwxQ9VeHni?usp=sharing,"Millon, 12/3/18, lot 304",,Private European collection.,,
,,A commemorative portrait of Maharaja Rai Singh,Bikaner,19th century,Opaque water-based pigments with gold on board,"Image: 5 x 4 1/3 in. (12.7 x 10.9 cm.)
Folio:10 x 7 3/4 in. (25.4 x 19.7 cm.)","closet, cabinet",https://drive.google.com/drive/folders/1f1g7btFngSiEZfW6tJTMvcD_FlV1pxbR?usp=sharing,"Cowan's, 3/10/18, lot 386",,"Collection of the Maharaja of Bikaner, 1964, according to inventory seal verso (no. 4724).",,
,,An illustration to the Devi Mahatmya: The Demon Army,Jaipur,circa 1820-1840,Opaque watercolor heightened with gold on paper,"Image: 6 3/4 x 10 3/4 in. (17.1 x 27.3 cm.)
Folio: 9 1/4 x 12 3/4 in. (23.5 x 32.4 cm.)",Drawer 14,https://drive.google.com/drive/folders/1qU9qJBAu5bTdn2tIZmU94XZtzkLEl8fB?usp=sharing,Freeman's auction,"Exhibited:
Lycoming College Gallery; Williamsport Pennsylvania, 1981.","Bharany’s Gallery, 14 Sunder Nagar Market, New Delhi, India. 
Private collection, acquired from the above, 1978.",,
,,A leaf from the Devi Mahatmya: Homage of the Gods,Guler,circa 1850,Opaque watercolor heightened with gold on paper,8 3/4 x 12 2/3 in. (22 x 32 cm.),Drawer 6,https://drive.google.com/drive/folders/1n9DhW2AspJV13Qxpio8JDQyt2jzeFac2?usp=sharing,,,"Collection of the Marquess of Tweeddale.
Sotheby’s New York, 16 & 17 September 1998, lot 561. Private collection, United States.",,
,,An equestrian portrait of Maharana Bhim Singh of Mewar,Udaipur or Devgarh,mid-19th century,Opaque watercolor heightened with gold on paper,"Image: 10 ½ x 9 in. (26.7 x 22.9 cm.)
Folio: 11 ½ x 9 ⅞ in. (29 x 25 cm)",Drawer 13,https://drive.google.com/drive/folders/1eKmP6phHi2JIvITq7okS_RAD_LOH93cb?usp=sharing,,"Literature:
Will Heinrich, “Art: Tiny Works Full of Wonder”, New York Times, 17 August 2019.
Will Heinrich, “Art: Bold Colors from Rajasthan” in “The Week in Arts: An End to ‘The Affair’; A Lincoln Center Horror Show”, nytimes.com, 17 August 2019.",Ex-collection of Robert O Muller,,
,,Portrait of the Master Sufi Al-Shaykh Abd Al-Qadir Al-jaylani,Deccan,19th century,Opaque watercolor heightened with gold on paper,"Image: 8 3/4 x 5 7/8 (22.2 x 14.9 cm.)
Folio: 11 1/4 x 8 1/4 in. (28.5 x 21 cm.)","Framed, closet, B3",https://drive.google.com/drive/folders/10JQ0xLi8wkbJ_TYrXJUnXKtLwRNeH8S9?usp=sharing,"Million, 12/3/18, lot 300",,Private European collection.,,
,,Two Paithan paintings illustrating the Ramayana,Maharashtra,19th century,Opaque watercolor on paper,12 ½ x 18 ⅛ in. (31.7 x 46 cm.),basement,https://drive.google.com/drive/folders/17OCh5jx-YG2khriZ4nAtfkdRy3D7sTX5?usp=sharing,EBTH ,,"Private collection, Ohio.",,
,,A gray schist head of a bodhisattva,Ancient region of Gandhara, 2nd-3rd century,Grey Schist,13 in. (33 cm.) high,gallery,https://drive.google.com/drive/folders/1sbU4ipJzxdn80imvJzKibsbkr_Xnvg1d?usp=sharing,German auction,"Himalayan Art Resources (himalayanart.org), item no. 7774."," Private Belgian collection, by inheritance, originally acquired by his father during a working stay in Pakistan in the 1960’",,
,,Ardoksho,Ancient region of Gandhara,2nd - 3rd century ,Grey Schist,6 ½ in. (16.5 cm.),glass case,https://drive.google.com/drive/folders/14m-tyTW7krNE2eyPWZQmW5g8Se7E-PbQ?usp=sharing,,,"Christie’s Amsterdam, 8 May 2001, Lot 614.",,
,,Yaksha,Northeastern India," Pala period, 10th-11th century",Black basalt,32 x 13 x 5 ¾ in. (81.3 x 33 x 14.6 cm.),gallery,https://drive.google.com/drive/folders/1Q5-XDUdShUHARXxUQN-6to91Y7Yrv5Sl?usp=sharing,,," Sotheby’s, New York, 29 March 2006, lot 207",,
