j,Image,Title,Origin,Date,Medium ,Dimensions,Physical Location,File Location,Acquired From,Literature & Exhibited,Provenance,Essay Writtenn( Yes/No),
,,A gray schist frieze with three  Boddhisattva ,Gandhara,2nd/3rd Century,Schist,12.5 x 18 x 4 in.,,A gray schist frieze with three  Boddhisattva ,gallery,,Consigned-in,,
,,A Green Schist Figure of a Standing Attendant,Gandhara,2nd/3rd Century,Schist,21 x 6 x 4 in.,,A Green Schist Figure of a Standing Attendant,glass cabinet,,Consigned-in,,
,,Panchamukhilingam,,,,,,,,,Consigned-in,,
,,A sandstone Chaturmukhilingam,Central Indian,"Post-Gupta, Circa 8th Century",Sandstone ,9 1/2 in. (23.5 cm.) high ,,,Gallery,https://drive.google.com/drive/u/0/folders/1TCzdkQ8_dwMOCYHkQEJ4xon5tYDf9Bt1,Consigned-in (Ghose),,"Acquired from Spink & Son, 1983"
,,A black stone bust of Buddha,"Eastern India, Bihar",11th Century,black stone,24 x 17.5 x 8 in.,,,Gallery,https://drive.google.com/drive/folders/1qNWDOHAnyOFZzvr0axsA9phz6FVcoX_a,Consigned-in,,
,,A painting of a composite horse and rider,"North India, Bilaspur",circa 1700-1720,,81⁄2 x 6 in. (21.6 x 15.2 cm.),,,on view,https://drive.google.com/drive/folders/1SEP3s7R2gVGvB2wRGaSaDkNS0GjVxjn6?usp=sharing,,"Christies New York, Sacred and Imperial: The Hames and Marulynn Alsdorf Collection Online, 4-29 September 2020, lot 27.",
,,Inebriated ascetics,Rajasthan,Circa 1750-60,Opaque watercolor on paper,"Image: 8 ⅝ x 5 ¾ in. (21.9 x 14.6 cm.)
Folio: 9 ⅞ x 6 ⅞ in. (25.1 x 17.5 cm.)",,,Closet A3,https://drive.google.com/drive/folders/1F9xxxOEdjKxni7tYV2qfwYY0WVdSNhxN?usp=sharing,,,
,,Ganesha,"Northeastern India, Pala Dynasty",11th century,Gray basalt,26 x 14 1/3 x 3 1/3 in. (66 x 36.3 x 8.4 cm.),Gallery,,gallery,https://drive.google.com/drive/folders/1eUc4r2EcwE6taMbe0fMBS8UXNDziAt4E?usp=sharing,,"From the collection of Jean-Claude Moreau- Gobard, 1960’s",
2019,,Mahakala Shadbhuja ,Tibet, 17th century,Bronze with polychrome,6 in. (15 cm) high.,"closet, D3",3 - Mahakala,,"Himalayan Art Resources (himalayanart.org), item no. 35867.","Toronto Collection, with Sipnk & Son, London, circa 1995.
Acquired by the current owner from a public sale, Toronto, 10 June 2013.
Christie's New York, 14 March 2017, lot 209.",,
2021,,Chakrasamvara and Vajrayogini,Nepal,15th-16th century,Gilt copper,8 1/2 in. (22 cm.) high,gallery,Chakrasamvara and Vajrayogini,"Bonhams New York, 23 Sept 2020, lot. 629.",Himalayan Art Resources item no. 16809,"Henri and Dolores Kamer, New York
Private Collection, USA, acquired from the above in the early 1990s",,
2019,,Chakrasamvara,Tibet,17th century,Ground mineral pigments on cloth,34 x 25 in. (86 x 64 cm.),"basement
BC2",28 - Chakrasamvara,Chris Barker,,from the Uzes Collection (France) acquired in the 1950s,,
