Work_Number,Work_Artist,Work_Title,Work_Year,Work_Price,Work_Type,Work_Medium,I_Iinfo::D__Height,I_Iinfo::D__Width,I_Iinfo::D__Depth,I_Imgs::URL_public  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/aa50b7a5-10e2-4883-a398-4a344bba8ce7/Copy%20of%20220715_KapoorGalleries_0272-Pano.jpg?Expires=1802811795&Signature=jvU5gaK62ly4GVDd3U-y4TQw4eQAs3WDoQtI5FV71hfWbR3OeC6x1m~Xse0LvFTmCMQf2DIOzBsPT2rLYwKdts1GJ5~6YcuqJANAtDvwUFuxPmsM-tomtYmBWumbtyVgjWpZJlErFQKtk4Isl85XVklgH0a8kwCKm26qa-RC44sFbU8dc3hB4EdsXsbj-46l2R4KeKSZwTlHxM~ZNbyTZezcZ9vRg01aCegnxgyacEnUZ~iPAlGaLMVb1etxIjUcT1nJITn7E7qI9LdMKoJc~VsOLEMYrxXsaSHNree4nk0ttRRmead8whEnaRUKu4YEr2qmoFIirE3dztml8YaQkw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/0713525d-c89e-4847-b513-202bb29c1598/Copy%20of%20220715_KapoorGalleries_0274.jpg?Expires=1802811795&Signature=v15GReuVkfzvX-Spq9za-WQK8Ua1Mq3~SLQwTku7g4jHZk7Yn~B1k3AQAoIIMzszRC5ZEccq6zBSrr7KYpOq2G3o-44Qff9ZdKW5K3HY2kt7U4vqf~ifJrtn5P421paKy5NM0K8UMSvuRlsFYUAIjJtdktN31tbyuZpg2MlhSfe57rv0~rsFzMGxkjL6DUhGKooYRVHR~q6hcotGuPkWiMQqagpX8OC6lGhi4DPtZH7iVhxOPa5QNtEbmUkyeH6sTceiKVBSpSKylc3hV0VuxGy~201sFYcL7lTBYsU16AKSgxvRRI0w6jcu0B0xmVMq4urrZfybfKaHXLdX-cErbQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/2f05d852-b173-4f01-9360-0eda6422f227/Copy%20of%20220715_KapoorGalleries_0275-Pano.jpg?Expires=1802811796&Signature=L7S9lr82ZAbHULxahtVK-kNcaGQNfmO1iQm2EhrOe0Rm~Vb0G5RDujMMYYih7c2RmWB6XCx8d2G2FeQaFaUaIi-e6N26PvkB12iMIUwqX9Gkx7gErwDsia1CbfZdcoFOBbkw8g5ZxM7CAOi8CHihtcrlpbqpOSjmMTJOnEbGW0L6WPzk~I7fewI7uNI0KmE2yJmUuSiAuGU52M37abawoGy~5NSlCBMQW8sA1t9h7iNmmpspoR-DJiNWXULE40NW~nFoPnZEhDsvKJ95UnTcnb3rlQ7V-S6d4StSJ6WNF8~FZE5S6A-d6FNq0lUnonwQYbCHyy4umX2Xza6pndODUQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/c006f3c6-6c4e-4c08-b3dc-e2936e4e4e19/Copy%20of%20220715_KapoorGalleries_0277-Pano.jpg?Expires=1802811796&Signature=DGN5BIspXj-xr9q7YJG7H6yJWjPkp02mISdPahQlEsGX0X6h8bNWmns9YQ6ycrfVpPo1ZwHh90QPddk4tRrAmSNRVuHux5VhKYncR6H1zVWFFOb9ZOgWUqSQ4Gcy4w5RT0h-~XVbDbLZyUNyGf1BAUvxAtPjEv3K9kPd9DfzECCuj9TIdM02~iWjmoD-cykQkdCZboWemkLJ3YBmaD7KysguoA-XHIx8eSiCJqAJsrRI-~L7PWOiB2Z5id30DnwTtAW9D-e5qjqoSZTOQhIWVbSA-9CM27QIUUo8kmhz-nO8tbYES8TPXdrmRaOKzW4jwO1u6xMiqyfxsEV-xHyibQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/9348fa75-b123-4496-830e-bb7d272b5ed6/Copy%20of%20220715_KapoorGalleries_0281-Pano.jpg?Expires=1802811796&Signature=0Au1etH9XOcspHzZt-J9mVoxoo7BBJvC22tSj0RFi6BOT7gIiiq8cNPv~jtV6XFpQ0qbWqnzvV7XBokougMW4PIxepHwQ8Fp4uU261dufFk9dHoHwk2C3kZPLiWL1avnwnxgA1~XjRD0XFg1NHmiIHvPTGCtegj6M~IO~1hk941rX0X8p06~V9aJ5bJKG6PQQL~QP26ZU1ajKzFcDTuuj4ncHU1ifccNfj5CmvByNrw5cTgz05sl5aQk4OHAaiWdDvaqcs1po9VzfNgd3NBEImn5yS9CiyawL674-eH4xZlML7~-CLXkvvHZ9hcLsd1pEBBBVf3pMBuxIfIuhYYRYA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/9de47e03-465b-48b9-976b-b907b172c2fd/Copy%20of%20220715_KapoorGalleries_0284-Pano.jpg?Expires=1802811796&Signature=Lpg6LHo4j3trASmYiqk2s~StwoqI0IvX68I5TtrdIOAfYdaRG1gZiLGukL26TqCNAe~CfXoE5yXGZEISacvs72rhmgGEpctMj8z3PQCp2QQMm6lRlEQ9FRU-2EOiCbE8X0zcIIowXSnwZU~CnYKUGHe-uSD24zcpoS7ySXkj2bb7CSyqm6cVgXenvMlaM8OJ7iZYZv9zpLmP1L~fKnfjSdObmVhW6KY0R0EWE6PqiMSh-WnpWIIOuAsNVhH5g2xetlDGudkfKBcEfnmT5hMG4cmf41TKOF8qQNEFMLSEX5gQJOCtaejzU45sh-JLe3aYVtFNa3RYYn~CezKGSVr4pw__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1007,,A Stucco Hand of Buddha,,85000,Object,Stucco,20,9,8,https://data-us-east-1.primerws.com/kapoor_galleries/i/0689a076-988c-4093-bd43-c8c607ebdebf/220715_KapoorGalleries_0046-Pano.jpg?Expires=1802811608&Signature=N-C6nUFoJtWetAfTOfuL-hTdoyupM5ZUkXAckc1s5zWOe4tXglWgkXMG6wfr2mP-xQ2vVZmjGl4dX4M~Q8bK3XxTHx3pX-~Oi~idJ6z0KT01k-VbnSXsybZh905vSKMoGKA-w~f8soYkvx4SCPHxFd~mjCotBBK70e4kqx2Kb4iNAa2e7B58FNmtTmy3MxJzldjKw0qy6YbSfGVccMOZNvFc~SFosOwq2qEE-fyHcCxIRH6dj9jDjBSCq6UzaX5dJJDCUGfMGeCDotMYiwHZnGx~rARIGzzBvDmtfFB8ZkGZqjIzL7Fa9wrhpITL8RL~4iITROsluDU7wPgh~eRRXA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/6afc9c84-f9be-4efd-b42a-d4676aad8f63/Copy%20of%20220715_KapoorGalleries_0069-Pano.jpg?Expires=1802811798&Signature=eTRxs4gcNUvj20HtWrPtPXRjqbWxfyauPMkfgjmp8kIXvSciOWi21YvN-b~6UbW8DrzlEUJFVVGXCYlZdt8e0B4n7Nz7eMeaMAwO44wTZEgoSf4q4ncCDcDZmrDEMExvOLZl7UZETyslNMr2Xy8PCZHhILwWHGD~z8JX1UsbNKbGEVU0VpfOmDxKftYepUCPsFZkYKvHMV0PhVLUPtCWMwXOwv9RlW2kN6YhRBTighAvzJVixKqO3P147UqWHMcBfG8AIhLoV1KPXk0IiKDqZIDQK896dTcMxuCvtSkfkKcr7zXJU4ut8vyeHOcWkxgn~INaaBEGq9Pw6wiKi4E7uw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/f8724521-a876-4ab9-93ec-95fde17cdc08/Copy%20of%20220715_KapoorGalleries_0078-Pano.jpg?Expires=1802811798&Signature=OvtXXKRQOpFM2AQwW~GbrJqKQZ6no0IG~0OHw2L9hwfQao5F2wZqda1b19x8GhUGvx9wkpkA9FWxiNmbcOS6HFzzDeeTtnXsZyEk9YBDWlzlIfxHP-Yd7XFXi5up~vjB3cJaGQ7aM1hteeS4qFlvAbREFVFo1v-a72zncu6PkVK91z46F97SU4Nkra1KP-iWHVRlm9L31yd42rf7r37d45DoZHm3YFwRhfUwcgilvLgffN68r3b0~eJyKQG--wHqzMKxGOnmpV~khsUobpdl3IEguGsSuy9ZHQyHgaiPc~~MelpJzp0QbWxQZk1T~87pmQcUm55fNtMRoxhhO6aCKg__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/b402bd4c-0a5f-4d1e-bcf3-54f2c41651ec/Copy%20of%20220715_KapoorGalleries_0067.jpg?Expires=1802811798&Signature=zWakeR3LhTL~k8Wsdy0oS9BliyXfchDKN0a-i~SpqvrNS6tmoBwLEneC~nyybuXyQ0WgjBdm3~ZURzu9fH~B5icZfK9djveAbHkEkZ4XMb2bk9fkAnYcol8hjKJNoQoHqvvH30kZ5b7lERC-GN74uaX2oEK8~4YosXRJOPZVk79FjBNfwyr8cQ2~nMm8GHNjNvjwbZLSpuziBcgyMcHggJlZopN1DGYuiYA0Gkg~ocftWtWhg0KJJ4XH~lQLhZOlc3WgV7jxx6FFZcOViOIG8G3HYhUyhpx4g-FrPdMORo2vZvooyTPZrAdWw9fna0b3za47rjIIraYyrMyprYd1hA__&Key-Pair-Id=K2SVGVHI7PEVAH  
