Work_Number,Work_Artist,Work_Title,Work_Year,Work_Price,Work_Type,Work_Medium,I_Iinfo::D__Height,I_Iinfo::D__Width,I_Iinfo::D__Depth,I_Imgs::URL_public  
KG-1141,,Maharana Jawan Singh with Rawat Dule Singh and Sirdar Singh,1884,,,Opaque watercolor heightened with gold on paper,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/505f0d3b-61f0-46b8-a465-81562002ab2e/Singh%20crew.jpg?Expires=1802811644&Signature=xS41tJDLhF4ruaNm9xifBrsOD7q4rHdrDzAwk-xIWX5yVNXmTF0kGAuEI08jvC0zla1-fF0RNX6HQg3Mgr6eOl~wtl7QUIPOG0DPTVokjUeSl6kYUigbHFmWA0v3Fv5HuX4kPKz4zDwZl2jkeGaHFOR9FapDwezAC8YwTV-ydH9vXHsk1T-B4LCvtoOpSHg0-QLFom4oj7YVEwJ6X-bs7yXosrkFdZI~XBrk9KylU3tj4qcEtPIt31MEHfuOH7R8X7X0hKMy2iOVB~yXhBFllNtGufvicpH0myAlD~XtVc4UmVuD0nR8EU3ELe9rnR855p~KwrdP~PP4djuZn7ZrCA__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1142,,Maharana Bhim Singh Riding a Caparisoned Elephant,1820,,Painting,Gouache heightened with gold on paper,11,8,,https://data-us-east-1.primerws.com/kapoor_galleries/i/daff3cff-4584-415b-a62e-0c3ba220f1ac/Maharana%20Bhim%20Singh.jpg?Expires=1802811856&Signature=YJ7WAzjzAA73CgZKsrJ6gdrP9gujPwbLiQh9bhQKqX-itd2LgtrpRdurZ9CaHE~0S~WokeJl-cQhYpcnGIxTqXlvW2-q5j34DBRrocIPx~wPHBfPG4ZStowwyBnnscIiJYs60tGFo9LksjvcC2OhUqDTJdWWZQ2o9MazH9ToD2GfeXHPhZ9Rtt6YA-aqSjL8GlFAm-TfpVXH3-huWANvorcGHjp1fOxdROex5T8uUG5k1y3tkFbfsCxASjOtzWbxOUO1KJA8MytVlSH6Ix83y-IDj6HTMW6WykXrBoGyp4yYiv9IVNffab1GDQ8ORkvCK8lSRGHVIcCE9EbwvFRdFw__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1143,,Maharana Bhim Singh in a Durbar,1820,,Painting,Opaque watercolor heightened with gold on paper,9,13,,https://data-us-east-1.primerws.com/kapoor_galleries/i/2e98b83e-d302-4511-8fe6-6514024ce883/Bhim%20Singh%20in%20a%20Durbar.jpg?Expires=1802811856&Signature=OY6jIme2ZgAIhzk88u0QXVy2v8y6P~PaWIKJ7JudN5yCaea825X0Bt2QY8Du1RKOPk0RbBLjwsOa85JtDMTB5D0RP1oQPYopJ9F2C0KHS1q8xUeVhni7KwbeuOnz7mATB40qJ-RWE6iTwdYPovXBZB-mzZb58cteYMZ~~ieZ4u2~hJjCG6T8aVoTl~iQl2CkUh9LKnQuQRMjY~BXwju~5TRcZ-rb~HL84sqOZLY~4KaHHkDwSfmyNcZ5a9TBedw5KF-f-IwIg5O0IWka6Q0A-nBh1-FwrEN3jlPqlg7gxcb4wHKCYIkgNHNUH8xv1Xv4pflxOTl-~x2--RIhJgN1vg__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1144,,Maharana Bhim Singh (1778-1828) with a Lady and Child,1790,,Painting,Opaque watercolor heightened with gold on paper,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/b91651c2-4b6c-4544-87f8-0e0952c80569/Bhim%20Singh%20with%20a%20Lady%20and%20Child.jpg?Expires=1802811856&Signature=ZWe9lr0PLaztq-opft9sJrQBDCgxHlsNAWz47mHlgleG8JZdBXYKLzrkscegBMEA0ime6uHohGE7drWqxDUNHsi6GPtrgKOq11PJWjnnG4BPG00X0SFJPrsMF~uW09JhFUfNJ1HVXQvgLUDCnLrHVLpN2IK3X1V2LAW50nR7yfSyhxgu010zLkfx9jedhF2m8VP6S60sLBIh5zD1sPZS6rpD3tvXdsrlxhO0kDkI3qNDvjlin0g5z5SEaGCOe63WRyn5fZ7daeaT0JSdGXwW8XptSxRKXsqd7QO~MbZTf5nwRdV6UaVmaE-OMjTvO5536BnWWefhF-lEJhlOCCjJog__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/38cd536f-0920-43af-bdee-95ef3cb90325/VERSO%20A.jpg?Expires=1802811856&Signature=wwxLVjgmFwotMnxMAIH5a8CKXvDZ08s~btRnkfpGlkctEiKwFM4jmH7o9r2INq9dM4ki8oeScMsGvQsgabInR1Ip3gZnDYZtfNBSXbqX0whpLNpKS8hhrJVAjYyShl29Y2Fu1hAXY~wEIEgsX015d~Y4pfq-H~gL4XUipBGTpVIZONjPGl3lyQrmoesJpv9jO9jJaAG5cmg-a9FCXo~M0x3fxw9HDIFALt5NNR4agbzZQzWtPvqSQcCE-~hmyi6a-zE6UaajIamm9i~0xp3~Z6ZM5x75AE~bltUwOXhFfOPYPRFprclHecQQRPlW0i09tobnC3E7LrRBoTO2lZDKSQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1145,,Maharaja Bhim Singh (1778-1828) on Horseback with an Attendant: Attributed to Bahgta Choka,1801,,Painting,Opaque watercolor heightened with gold on paper,12,9,,https://data-us-east-1.primerws.com/kapoor_galleries/i/729e3b83-2782-4cb8-bba9-2f57dfa7a861/Maharaja%20Bhim%20Singh%20on%20Horseback%20with%20an%20Attendant.jpg?Expires=1802811814&Signature=YitsnjXu1sWk90qRX9EhmhaHpxPz1mlXlPbcxPDVGTrUgNUvfwLrYgPUp9pFoYYG8J3RVfS1GOzKFSFEPd0DXmrKLwg9-yRzjfjKACxIXY1KxjBpi7-igYcT0dYLzy7NBtIl5Pe1j7suBNuRI6VbXeKkHiPFpFiRkdJA0N42RxT~1LbkmpAP4AYxbfkk~jfc6uDQS0ULDlU6Cuh4Wd1TAzNmj5jSGPEs9Tl84D5Fvm-RUNpa0JDBut1Np-hSCwCJXr9Qqg4g~RZtV1M9u2zGJNHCVUJO70JCA0vY9C4cbzAW4iyy4gBd-JPut1QO4hCYGVZiySMsIl1-lF3eBMobWg__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1146,,Maharaja Fateh Singh of Udaipur,1900,,Painting,Opaque watercolor heightened with gold on paper,17,12,,https://data-us-east-1.primerws.com/kapoor_galleries/i/99a97615-9866-47da-9c61-286eb09e51ed/Maharaja%20Fateh%20Singh%20of%20Udaipur.jpg?Expires=1802811815&Signature=cgK-NQA~-XSwGnHc7FSYTSDFPmrpZ9GBt4FP~-qOjRfFQPYM2U6WY7hYbbhtSCCQt9RaEMX4CAuAwEcSj3DE02JCqdpOQiK~9lLXIUvIj-YLNM0lkyVJW6mQ0FuOW6ut0FVXFWEKwVbWX-rwYfJpCFfQbm2bigT-hWJo5PGBZPNJENL8AFBq~Cf7cUrpbRsltpiqHKRIJ6QYX8yVbXcLtG558XBXR106LU72KYdyNJUrbQSEHcrc~-BjYKtU2cciZiT8DCcDY3zw4L~3LY5X9M8SCLT9KLo7pgAuREjzT4ePU38RML3A7aoscBvPyHx0FT~N~igOLdXjUoSrB~Uprg__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/5bc6af9d-d682-41f5-bcd1-44d2e4d9084e/Maharaja%20Fateh%20Singh%20of%20Udaipur%20VERSO.jpg?Expires=1802811815&Signature=R6bgviloA7UpAb7-~HNTAuWA8FOEc5q3C0qcmKf5hQ6BEhRRHZqxARseY16IizXmqyGIkGk-77aOGAMqBUzGekNVRFlvTe9SEFqGA2jC7Tp~0Mrk7D2EFsKCDPjmjTUKCHUneblyEs9GjwLO4ODP9R58ulDB0eyRv6qZ1noEBGvOm7SDfXlJM2FcY7E9JWe1XyywSJ~dQjG0Pt3evc91XCZYNosZmE60nhS2xycHN3ZGPqL1BqJ5pB6bwU0C982dd5h-1t1IMktE65RFLpP0RAzRE7QQBvFnphTqw9JGaRq78qHByMzeMZ4YSSQXXs8HxEBLQci8RlpVbDpijBZIIg__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1147,,Dauji II Throwing a Spear (as a Mounted Warrior),1801,,Painting,Opaque watercolor heightened with gold on paper,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/408a8e11-7ec2-4ae5-9ae9-d3becb4a59b3/Dauji%20II%20Throwing%20a%20Spear.jpg?Expires=1802811905&Signature=mbIRdqElxbHw4jPTtnShH~KLNP2bPaQ0r3MgjMEDS~J8lNcGOxjaWPdVqjSwHmrxKYW7GvPnhY4HqZv7HCiftp~3G~-fhxXqwkREU7biVzGCF~-JKXV3FjDuLvRG1BfwNblhaRbrCIyThgZHMAMX8mrlDDguVW4lSTSZUlo~kjEt~R9Wk1dmfV2-GboFj7gI~ku0Niij8onyvUUwN8Cnsw~Oa3ujIJa51ivrM8xPCbLxnRhJVM4VWCQD7m23Kj9HKMcxRp9bekbeTh5TtfuDb7yvTyqmgfnZ5Qk1gIPHMuncO~XmydTLaRYoTwLgRv1k3FozW3P3uxIvXTwIMI5TSw__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1148,,Maharaja Surat Singh of Bikaner,1801,,Painting,Opaque watercolor heightened with gold on paper,8.7,6,,https://data-us-east-1.primerws.com/kapoor_galleries/i/74dca308-90f5-4fc2-8419-9dc4c5f749e2/Maharaja%20Surat%20Singh%20of%20Bikaner%20VERSO.jpg?Expires=1802811815&Signature=bq8~fWDqzXDXLgKhmEqsXHmPLQ~iZ0ObSpKHKcB~fqc8KUpLpvNbxKhNCvSoLf6K6wdp324MIPAvHMHgku~OhiP~3SRtuMHJecLBGZOsH7UJ5dj-rdNrfrsFdbfspzezqhSgJqIxTuc4emOsi6dVACiuqPXVHFL8SLH~tSrttm8xjvsgAs7LeYOGJkkA9hFiSKTpLyp2dSYY9QVjfEqhIdkh7x36XY~HicYGTasumUfvN2CXp5Z-blqa0ponZhK~C4W71GGjN0juSQt3w7qFeDkWklVVVxVt1Bc2eq7sTVbLP5z~nc9XrmoBKlfAcmSitA~VJBu8fLgzrzXJTHeDzg__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1149,,Maharaja Jai Chand Ji at Leisure ,1800,,Painting,Opaque watercolor heightened with gold on paper,11,8,,https://data-us-east-1.primerws.com/kapoor_galleries/i/861e353d-4ef4-4165-a0d7-2161ca993018/A%20Maharaja%20At%20Leisure%20Recto%20Post%20Conservation.jpg?Expires=1802811815&Signature=Hm9CpBJjzc58b6bzsJPj6djOKmousE5jb-KYqcqIc--p6SCJ3eSMg-kAo6YKZvu9aigYjc-l4U4sk89DgdnW4kDnWAg0T~gdpG8vpNktI~gZFLwaqo9aBysTxEojcxNWnR7h9Agv3viP8qwp1pvrkzoVvlmBCz-bhJKmot05YZ-h~2XUlETNC5LEbx3RtDsN7EY5mFnoRatyagT~Q6PpmaY6mDKQNxNfVGKZwLaDiNxaEkNG3CXHEeaV8DuUPOOllUyNTKsygsTtKESxNmbFCovgtDsi6fgWnuS~JPPbWOmTcjhXRQ5BksGuJrhhbBq2abRbHTmO946xToaRmzSDaw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/2a015c1a-ec0c-44a7-9a99-d4164eb9c6a5/A%20Maharaja%20At%20Leisure%20Verso%20Post%20Conservation.jpg?Expires=1802811816&Signature=peGHzlu4J2zyVxXVN5x~FKUdJAW3NVV-vqFEHaxGuc3aM~QTScok~PsdBa9rNCuIGtPdncPVhslRkI9ZJ4i1oN5hEhHobX2YbvRIUkY-gndQHOlS56hYmvYc8IfjqLkoS1nsIOmmOjOCjfan52UxyUTcatETnaeEmE7NAALhbrB2MxoUpEdLeCeOP7GE57s5lxZly~r71sw99SP594TLlCJqTWePD7VcfJ1sDL0p9Q4iB7NF01vnIK0rZgbItZZOAGB9G~0sBzxBWrVkYe6OX48y7K8U0YSbVCO0gelVy6isPanpbWXP11CmuGEbiNcVSpoHJ~OB1HO~5-6BLZoT6g__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1150,,Hookah Portrait,,,Painting,Opaque watercolor heightened with gold on paper,11,8,,https://data-us-east-1.primerws.com/kapoor_galleries/i/4228dd9d-3459-475b-a382-473dcff46255/Hookah%20Portrait.jpg?Expires=1802811644&Signature=zq6SuK~LsMhvLI3oUxtTcHC8zkx6KpdwKjs2mayynrU6hClVhWg6evAPuJ65MY9u-LhxrqskyBmyWiazpx1IOlGp8hvviVM1gGfCmWg2UEWhI1tBjrJflGtanwX8sOBajYUzmNH0G~87hKDOK7JC3FVWCRytnmrcwVHCZF7ZuKrNlNVKpo9dcBVoA8VsS0IrEqMq-ZPVfUw4pjpOpons35JIcJ6k7JMwFgl3fzW2hhrf4fBz8sS5ekI7wxkMPahNZgDnxWMr45Ssb0wwc083gpjjb0YzOa0sPU9He43ck~v7osB1OsSg8ZOTbNIDhzL2ONeG60PHxiBcV4vF~UaiYA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/31559afa-abfd-45c6-ad1f-b825527cda6a/VERSO%20detail.jpg?Expires=1802811644&Signature=TUi8tx731Hl0cDRICahA50uq4XTRm5ewvsOldMq5xailfS4vbe6G1x61IYvW9OJkrIfLtfHWObtbOEH2kQ2P8x7cTTmqyTbDUk2PVaXqvh2a2jg4PDGAqElDY7GiVZ0MWS2APrQBr8PyRKAv3EoAi-qpVG2k11waDQN9yJdO8F0tnKvA0~4Nx0OJxGlxGBuama6SP9jsoRaEAUgrM49DOfJMVVR4uYrfGveZS3ciBldYTo1jq~K80IFEyoYNI4r~Oyw67AfO6nfXmt3y4bW83CHVNhDj6u9bSy3XDHGStLrLSBuyNZcn7Tw4Q5IVOqi-wfzvU0IZXzKb4ezgIr3vfA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/57772a80-f495-4abc-a3c1-b5238253efcf/VERSO%20detail.jpg?Expires=1802811782&Signature=fhtY5TKG39Rwzf6SWMwYSB6wm4EM5PmSyrlHunHW~KGXEXreatf-liJsYBPdk0Ee8n1NanKPBWh1nkTaejlv2Qw6Ik6aSLfHnuJ2fl7ws0W3iNTo7rq3UWi9PJuNUEOh-NbfVPi86QzlVMO3k59x5W~ZyFUV1Qt8E8eNvMnL391fiw8R6mc1yVVT0YC-wMYsJDwHzkJH7BVFXWxmll~J46hH337fpQZQKxZ6LvPVPaW5pN1RtKskyJoY6nKKRHuPCgqM5bsnOpFjywYlBEMADCoVPJePS5vPjxa1kDIFyxs6KFPRvww9yekjHky9T8myhNNF93ywGmN6eIns-fdiSw__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/3d8474b4-5149-447a-ad37-362bb9d23813/Hookah%20Portrait.jpg?Expires=1802811782&Signature=lihVdpXoFCaiZgK7s7a2C~H6BpgDXpxbstwqNxeUshUEmAxKZcGyQT35gq0KTmIa4TDNIJewsVSb6OXsFC0jtb-4GMu27WTN8k2eD1qI4222glfpReVbPGk5k3DXVw9U1CuWV5mzZH-cqPeZJHPnJizm3wocLqT0NnRST4FiotEYVTY0ZNrqry3BA8UPA79v2i31339-aq6bMl8kwT0msOKwZymu8FzpsNjETyUX8-dhMaVpPjkADNdmrXj1w67ce~PbRo6~5WNy~inP9GlvbYxhZERjJI~P7QV8Hn5Mi0h2MmNExxmbuSR6HXvMgAx~zeMu9LxKRdf14XDJTf9QSQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/1d3660cf-8a05-45c7-829a-007f9ecd6e06/Hookah%20Portrait%20A.jpg?Expires=1802811782&Signature=v4nzGyICWEC1Kg3dnPBOGcHJFjWe7CKvM16FSaWRqIcU8koRHJbeR-2ND3jriTzuFqgfhRErUvewAak2cGrQHp3SJfpOWez8u9PyCGb3dLgCWqyMPlGWfNX-~5kNG98pB19CWksOVv-ILqLIXHNCmLp-M88zvAATzb7Wkr4olAJ9OKf7niqBt3rj5Ytc4t7z3XADzcMCpN9-DmgOrRSN5T1F4e6GwTwll6ffSI3x1emA~j8EzxNxC7PFfGAQkKtafhXiEGcctzEkyole8hSfe3kdlV9-Zt7dhz5m25PTlGlInsVN4OgIcCQI8r59wbSw1VYvAdfYw28vOSFmJIRAxA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/b0df2fd4-082a-4fc6-b614-7f3783b515d6/VERSO.jpg?Expires=1802811782&Signature=CrEKqHL4TEiy9bgp93K9PNs7IQjX0ZICLaWo66r-97zJpYylVjB1kjsjjJ9Bxb9U1FB9JhgVTbys3mH1-OLWAmPQuaj4ma2xxYyBLFLkWIFyzXuVgr0wwddYH6rI1YVv64nj8kjehaol4ClwXtzXvq3siLkAHnnuvJ664d9Qt~5iNddkzZMuPFXg~KtWJukra4yVL~UlV5jVCiiPWobDSHEPJFPAqIGNM-APtP0SoaQLSRmx~kaJ6877iuui-jwtIbsYtluVxtPt8vLMeeQg2L~AXzyjyEt95KPZD3cEhX7y4xMsOdzXihnz-3XEKm58eqx1hkICiyZlTgcMKhOFng__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/bb62a0b6-fe25-43af-b07b-59963aceebd8/Hookah%20Portrait.jpg?Expires=1802811788&Signature=yMivfmzEhCXR0hNcXen98QZmWGpFsgtkUhWKxEQHo0CNUo-HSmCt2ohMJRp-PKPM8FXcCx6w-A4g3mvOo~pRKQfb3BSS2KFAq~-PF9mTUsaL0GiUUBcMLk3UxoxCT29CS5i-iZ2Za1M4OrfCLgz06WFbQfVh0zcHZuYa9JMrpHR1bvQQ37oUUSZ0Q8f8Jj-gR~5yKVx2nw3eWdhP7aGwbKCQAOOzIH3QCwZ6rIWEABx9s8CR48EP-zJO-uUw2YnycQSYqKygzTUEMVSlPTercJ3ZWyVYACQDS6znpubEGQ4mglxu0NypQbim9hCQ4HtxQ2TPqOUgI-CQAnriTMYVbA__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1151,,A Sisodian Nobleman (Rao Shri Rhoulmasi),1701,,Painting,Opaque watercolor heightened with gold on paper,8,4,,https://data-us-east-1.primerws.com/kapoor_galleries/i/5333feff-0520-4d3d-bf1a-333640fa7382/Screenshot%202023-07-07%20at%204.57.37%20PM.jpg?Expires=1802811843&Signature=B0e4My5lWqB6EGyYEtjmMwOTbVNrQPHI97t~tCgvuIfjMAEE6RWWJakrdnR-nSWyw9k2ujVUrLIk7UoNDUFBLyLwG~ktpdUXTyUYddVEx0vFEC-r2FyYCNX~CwnP4PFa2Ky5cLMY3sX1UfZMZNd4Nwl3sHGpla~G-0xG4BADsmVFug0~hkoHCEsH4UsFIgdcIrEBYTfRtSwrhqz2jQK7xvdJlHKc6n7KFsmifXrdv3o-NNF7u5kKtwK8yEgMj6hAV5NMmSLbXXg1P6fmiSpesjr9CXXeOThPD8LVnlay65S3T~GwLvqGEL-TwYoTeoC8mkQq7Uft96bcCxHxKeEn2Q__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/91eea067-c609-4088-b1d3-06affe2dc47a/A%20Sisodian%20Nobleman%20VERSO.jpg?Expires=1802811919&Signature=e~jiGcRxTPo1n-zFcthhAN~f2regsaYdgjFZuYYyz7y9GuC8GZ0mRfa0JSAlQRjs5iHH~LYfPBEAlVHkF1qBz7SYLnO8MKV~V5dGUTKCS9zWru9KzMuArTzmOenPyWoWXSmMXLvDn6wIE5bWihC97m4kgCYEatGvUYP7Sv4d3krnztR94if5ty2cm87MqP89vbJPifOax4jkSmqDJxTJvklWqXzXBMuzvjPNEeIh9XcmUp049wkFPdST2-lx39zzzdhFWP2BoBXQk7NVnSjpg5A-BuC4jXFCX8w03euu0ckB8ZRDZmteo49MLFiQaNk9RRIOSBbftd6sx3ecLegMxw__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1152,,Sisodian Warrior,1801,,Painting,Opaque watercolor heightened with gold on paper,12,8,,https://data-us-east-1.primerws.com/kapoor_galleries/i/7da5df38-51bb-42c7-bee7-0fbacef0f0d8/Sisodian%20Warrior.jpg?Expires=1802811692&Signature=e2uAdzJUNL8nPaFz~GopLLK~jal4CenEWjRuhjYiWakFW5ybuwQCWoocY0c14a6prViAU257tI9M7fLdd11ntWqsTkuVvrdPFhHEpHXEHM1qWhirr~eBciKaahtVYfeOKx~Oq8tTFm20LFqlY2QZcljAdjjDY~LmgVPujcUQSyEADz1eIEomy~8OG5f6ZtKg5w0SW~TouLaUZgvqoxVEQkhNLyBDd1rySE3OMn~KSXpwyhNGPH1xJoBku8VnYm9XToh~aIwquJZoiC0WL6mBwTHQt~Nt7U6C57Azvk-sXUUsfR7sDtS7Mi5fZMv~jUpMpjyJ2s7AVYkt4WSq70MUUA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/d1284447-272e-4425-a313-6574462b3b62/Sisodian%20Warrior%20VERSO.jpg?Expires=1802811748&Signature=malOirIkjQZoG4c0ZSbxnMYXQBgDfF4x~z7MyhfZA7ds9mMXXle~QAGqpN8gOXg8~z1JFj1amC-APHzg~OFxnKtYiLw4fUUrxWXb-vECsV2No0fdtw94GJfWMb8TZLx4kJKkf5QWIEXHjepBJGd4itL9xU07kV04Ap5TajpGlNEWgEgaN~BKA5RRSep6xYLSJIrYLyxJFLZMxAOUSl0RKyCKhGqpa9YGPLH8ieGnBn833t3nejTeIzpr8DueKQRxd7IsH11Fnj253p3hnRCSkpx2RwaeKRDBNytt~LQycT2O1sBDKY-c6yDsNBbUUD5CgG1lq2AAJbbBfnCwn8OKsg__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1153,,Maharaja in a Durbar,,,Painting,Opaque watercolor heightened with gold on paper,14,9,,https://data-us-east-1.primerws.com/kapoor_galleries/i/c773190c-174d-4c1e-b3f3-695bebf9a927/201013_KapoorGalleries_FLATS_0017.jpg?Expires=1802811650&Signature=baJcsOFE1xHwikTANLbdba34HP87AgNe11gH98sTcOoWISznb8p2GDCE7-uYUWu8o9j4kKdoB0gY460yABGZCgQ8DhSq-m08-IUCyZpROZwfVBgbA3KhXVwn3LATQS9j8FrpAtBW2s9RJ8N~rW41J39nx5MiXtwe62UpW8ZqCaZlhtPm9EchMigeUPfrIHjpsC62tAv3HZpWo6sHFqsUo9KZgNaadEacVGiP-sAM49r1IuJQmVxi87AD1VxevnXSYou-StSEN1OWVY1FaeFiXGbve0887jsGD6Ln9Ba82T8I0ZFqamXndYfyEYPyT6HOQ3Tp4ogr1wQCoGUQYH36Ow__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/ca6c5628-92b7-41fb-bf53-7a9fb9803030/201013_KapoorGalleries_FLATS_0017.jpg?Expires=1802811650&Signature=UYNgvNmRccsDjy-vC1I8PcCmpZeHrs5dAROvlDIPjXerEtiJpciHAbTRvL5Jk-I2IQL40ssKERA66XjYBFoWkN29tlYK6G7YZdUd9Vn66FLtaLvA12qM1Fd~Gzk6-YT09xTAwNJkBKPG5EsGY2jv3Kg0fduQbDPLr6-pqe~uzspSp2NzJ7hQX91~zACh06Aboj62BdtTxZz0QsTFv9weh5Q7NaPDvAoToLNnxhHxPUc8tkVNrxgrBF1BZKZCz84uQ3mm4qj2KNMQAmv-N85Wng0IV2fHy-EXJlWVScar~67QMUgc6CM4XZtiiyZseMx8aV8nQVY~Keu1EYhanf6KGQ__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/c07d9b52-d1cc-470a-8ca0-a1866d3f5c0b/IMG_8195.jpg?Expires=1802811651&Signature=qcjsQVn2MoYRc5tx5X~-tyqYV48Ef8auUj2axnAl8GO49Q9vkLD5Qxu42hRFrfgZrnGrsEgcl1p~AavpEAeaOSX6JlSlWV6DGckcsXH-PEGiaxd9DfHrER~2a~CGGTvan8dGUb61G6mHswyoguZKN1~trZx86RSJj1g67uHiytIhyVJ18QcJTbNP24Lq8E08ZeHMUQDFSLYW~2BI1odBMT~-YAAkZxS0voq5-Q27d48To7pTWqCgQvBb1Qn6fnYnCiNjrfD1Mb1ROzribb1Q3JYjtyc3WTRUXJkZ7fN3UKhiHD2Hmv~K28pJ2hUava-xxiJYC7e6j0E72~2pont~ug__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1154,,Erotic scene depicting a European couple,1700,,Painting,Opaque watercolor heightened with gold on paper,7,5,,https://data-us-east-1.primerws.com/kapoor_galleries/i/597dc5c8-7b0a-465c-a251-6dab159293ca/Erotic%20Scene%20Post%20Conservation.jpg?Expires=1802811905&Signature=MlsytZPKACRp9A7FVgfGOOcUojTv9CY0~0CfkU0WDSutEw4NAzZQ1UggGIhBt-EZSWwxJKg2zZi9eu0XnPDRemAulyEEvBR3~EtEbyVkqHVZDZbGxMzXUUhTBi8gvpr-PUW1x~519IROWgM9um9XSS1c1npL5xaqab7lcE~KPX2rto~fnaSJBslp0nLvT3mSa3AoEfwBpsOVm~JZlMhSzR~usVSVWrgJgxpNkPC2YMbYJePW21Q359p0~~pLfWy5XfPlVc108nnnUhdCRkCIwNmymKEaX~Rzl-tg4EarXxEgwORfSE4EAKgLvAUWFSjYdgu0eTyqFwcb7CViaZzlRw__&Key-Pair-Id=K2SVGVHI7PEVAH  
KG-1155,,European Caricature,1850,,Painting,Gouache heightened with gold on paper,9,12,,https://data-us-east-1.primerws.com/kapoor_galleries/i/1168a664-6aaf-4f89-91a5-fc8e0d027812/IMG_4308.jpg?Expires=1802811691&Signature=KjU775kZNy~AqATaGrRcKlPiEGcH8WBJ7bsSFhApmyjsSppl5ooboOVvZ58hiukX9CTDjszMl-r9OGGRUlv4Aa5ByJWv4j98~e5s7NEgoJAc259Fi22ZvtpJTk2axG0WBeGdz65wefSSE5UQZeFhgrvhYgFTN2PRWJHIeGLxW-OvSqv9R5N92zICadX-e7M6a5QVDDWKWo7p4tHDVci7U14eSSBsIHPmiavoFLN~ChixDP8auotrIqXoYmFZOz6m7mG4mvgUcg5YDs~~w4zceyVaEWxbsCDKXYOpY6GGM8BVR8UuSOd5qu5PZtBEgpy4~LNnsokuv3HIxq9AsmddrA__&Key-Pair-Id=K2SVGVHI7PEVAH  
,,,,,,,,,,https://data-us-east-1.primerws.com/kapoor_galleries/i/a501648f-7336-4ee7-802a-57eff80a065e/210122_KapoorGalleries_Flats_0014.jpg?Expires=1802811747&Signature=q3pnIMF~1LtUSWg3zuGRoLzI1VBtZgWBKxgZTVEKavpVBRf~eysEuwQ47XR6dsWgSGRlS0C-5OrbxaOAu5xj7RLS~ZEeHm4~V0i2AN3ZeHEMnhS~csCL~rlfR8kb8~ooFihyZVydNSvNyI86H-r8ww8vHQiKgJ99UNGSlMs~0U2WlObQ-z2bT45Rsa1NvFrbLtw8XKoyGesEYK06j2w3QY9YvjiJDOhPJP1RzbqlsxL-e-IvFiLJWViQ7C6J7uwmtI2TgkQKwJrkWeCrvmjPIiZMIl47z4btu97eDMnN3jODI5NhXFiVsoBgzOqbW3LFtlJff6iUAcREzUKtirLJBg__&Key-Pair-Id=K2SVGVHI7PEVAH  
